Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm,dyeV,salinity,temperature
RHARTNETT, Blank, no dye,0, Blank,-0.0001,-0.0001,0,0,NaN,NaN
RHARTNETT, PH-BATH-07282020-1-1, no dye,0, Measurement 1,0.0705,0.0503,0.1275,0,26.2378,17.4740
RHARTNETT, PH-BATH-07282020-1-1, m-cresol added,0, Measurement 2,0.5947,0.9398,0.1277,80,26.2378,17.4740
RHARTNETT, PH-BATH-07282020-2-2, no dye,0, Measurement 1,0.0692,0.0488,0.1256,0,26.2378,17.4740
RHARTNETT, PH-BATH-07282020-2-2, m-cresol added,0, Measurement 2,0.5954,0.94,0.1263,80,26.2378,17.4740
RHARTNETT, PH-BATH-07282020-3-3, no dye,0, Measurement 1,0.0672,0.0479,0.1247,0,26.2378,17.4740
RHARTNETT, PH-BATH-07282020-3-3, m-cresol added,0, Measurement 2,0.5878,0.9356,0.1258,80,26.2378,17.4740
RHARTNETT, PH-BATH-08202020-1-B, no dye,0, Measurement 1,0.0553,0.0426,0.1209,0,28.9002,21.9836
RHARTNETT, PH-BATH-08202020-1-B, m-cresol added,0, Measurement 2,0.555,1.0217,0.1218,80,28.9002,21.9836
RHARTNETT, PH-BATH-08202020-2-E, no dye,0, Measurement 1,0.0548,0.0424,0.1201,0,28.9002,21.9836
RHARTNETT, PH-BATH-08202020-2-E, m-cresol added,0, Measurement 2,0.5365,0.9971,0.1215,80,28.9002,21.9836
RHARTNETT, PH-BATH-08202020-3-4, no dye,0, Measurement 1,0.056,0.0432,0.1215,0,28.9002,21.9836
RHARTNETT, PH-BATH-08202020-3-4, m-cresol added,0, Measurement 2,0.5392,0.9913,0.1224,80,28.9002,21.9836
RHARTNETT, PH-BATH-09232020-1-G, no dye,0, Measurement 1,0.073,0.0467,0.1202,0,31.7654,19.4811
RHARTNETT, PH-BATH-09232020-1-G, m-cresol added,0, Measurement 2,0.5548,1.0263,0.1207,80,31.7654,19.4811
RHARTNETT, PH-BATH-09232020-2-C, no dye,0, Measurement 1,0.1366,0.0727,0.1388,0,31.7654,19.4811
RHARTNETT, PH-BATH-09232020-2-C, m-cresol added,0, Measurement 2,0.6195,1.074,0.1392,80,31.7654,19.4811
RHARTNETT, PH-BATH-09232020-3-D, no dye,0, Measurement 1,0.0732,0.0467,0.121,0,31.7654,19.4811
RHARTNETT, PH-BATH-09232020-3-D, m-cresol added,0, Measurement 2,0.5558,1.0355,0.1207,80,31.7654,19.4811
RHARTNETT, BAY-STD-BATCH-1, no dye,0, Measurement 1,0.0504,0.0393,0.1136,0,27.5300,11.9200
RHARTNETT, BAY-STD-BATCH-1, m-cresol added,0, Measurement 2,0.7005,0.6506,0.1145,80,27.5300,11.9200
RHARTNETT, DIC-09232020-1, no dye,0, Measurement 1,0.0372,0.037,0.112,0,35.0000,25.0000
RHARTNETT, DIC-09232020-1, m-cresol added,0, Measurement 2,0.5036,1.0819,0.1129,80,25.0000,25.0000
