"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.217,205.3,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.237,207.4,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.257,209.2,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.277,210.9,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.297,212.5,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.317,213.9,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.337,215.4,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.357,216.7,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.377,218.1,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.397,219.3,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.417,220.5,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.437,221.6,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.457,222.7,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.477,223.6,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.497,224.6,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.517,225.5,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.537,226.4,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.557,227.3,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.577,228.2,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.597,229,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.617,229.8,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.637,230.6,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
1.657,231.4,20.2,"AMB-2-1",46.052,26.3,14.6,6.9,7,203.88,232.02
