"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.3995,203.9,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.4195,205.7,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.4395,207.4,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.4595,208.9,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.4795,210.3,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.4995,211.7,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.5195,213.1,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.5395,214.3,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.5595,215.5,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.5795,216.6,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.5995,217.8,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.6195,218.8,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.6395,219.8,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.6595,220.8,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.6795,221.7,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.6995,222.6,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.7195,223.4,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.7395,224.2,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.7595,225.1,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.7795,225.8,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.7995,226.6,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.8195,227.4,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.8395,228.1,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.8595,228.8,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.8795,229.4,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.8995,230.1,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.9195,230.8,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.9395,231.4,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
1.9595,232,20.1,"BAYSTD1-02202020-5",54.13,27.53,11.92,6.9,7,203.88,232.02
