"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.258,205,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.278,207,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.298,208.8,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.318,210.4,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.338,211.9,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.358,213.4,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.378,214.9,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.398,216.2,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.418,217.5,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.438,218.7,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.458,219.9,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.478,221,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.498,222.1,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.518,223.1,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.538,223.9,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.558,224.9,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.578,225.9,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.598,226.7,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.618,227.6,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.638,228.4,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.658,229.2,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.678,230,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.698,230.7,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.718,231.4,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
1.738,232,20.2,"AMB-6-1",47.7,26.7,14.1,6.9,7,203.88,232.02
