"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.3195,204.4,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.3395,206.4,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.3595,208.2,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.3795,209.8,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.3995,211.3,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.4195,212.7,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.4395,214.1,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.4595,215.4,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.4795,216.7,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.4995,217.9,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.5195,219,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.5395,220.1,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.5595,221.2,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.5795,222.1,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.5995,223,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.6195,223.9,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.6395,224.9,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.6595,225.7,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.6795,226.5,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.6995,227.4,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.7195,228.2,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.7395,228.9,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.7595,229.6,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.7795,230.4,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.7995,231.1,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
1.8195,231.7,20.2,"AMB-4-3",50.202,26.6,14.2,6.9,7,203.88,232.02
