"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.2235,205.3,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.2435,207.3,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.2635,209.1,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.2835,210.8,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.3035,212.4,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.3235,213.8,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.3435,215.3,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.3635,216.6,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.3835,217.9,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.4035,219.2,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.4235,220.4,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.4435,221.5,20.1,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.4635,222.6,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.4835,223.6,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.5035,224.5,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.5235,225.5,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.5435,226.4,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.5635,227.2,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.5835,228.1,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.6035,228.9,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.6235,229.7,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.6435,230.5,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.6635,231.3,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
1.6835,232,20.2,"AMB-2-3",46.296,26.3,14.6,6.9,7,203.88,232.02
