"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.4955,205.1,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.5155,206.7,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.5355,208.2,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.5555,209.6,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.5755,211,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.5955,212.3,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.6155,213.5,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.6355,214.7,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.6555,215.8,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.6755,217,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.6955,218,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.7155,219,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.7355,219.9,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.7555,220.7,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.7755,221.7,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.7955,222.5,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.8155,223.4,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.8355,224.2,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.8555,224.9,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.8755,225.7,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.8955,226.4,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.9155,227.2,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.9355,227.8,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.9555,228.5,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.9755,229.1,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
1.9955,229.8,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
2.0155,230.4,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
2.0355,231,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
2.0555,231.6,20.2,"BAYSTD1-02202020-3",57.34,27.53,11.92,6.9,7,203.88,232.02
