"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.27,205.4,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.29,207.3,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.31,209.1,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.33,210.7,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.35,212.3,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.37,213.8,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.39,215.2,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.41,216.5,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.43,217.7,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.45,219,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.47,220.2,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.49,221.3,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.51,222.3,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.53,223.3,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.55,224.3,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.57,225.2,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.59,226.1,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.61,227,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.63,227.8,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.65,228.6,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.67,229.4,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.69,230.2,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.71,230.9,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
1.73,231.6,20,"CRM186-02202020-2",47.542,33.525,25,6.9,7,203.88,232.02
