Titration Data Only,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,"Scope 1/1, Sample 1/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
,Time,,,Meas. value,,,,Temp.,,,dE,,,
,[s],,,[mV],,,,[°C],,,[mV],,,
,1,,,-24.8,,,,18.9,,,,,,
,2,,,-24.8,,,,18.9,,,0.0,,,
,3,,,-24.8,,,,18.9,,,0.0,,,
,4,,,-24.8,,,,18.9,,,0.0,,,
,5,,,-24.8,,,,18.9,,,0.0,,,
,6,,,-24.8,,,,18.9,,,0.0,,,
,7,,,-24.8,,,,18.9,,,0.0,,,
,8,,,-24.9,,,,18.9,,,-0.1,,,
,9,,,-24.9,,,,18.9,,,0.0,,,
Titration (EP) [1],,,,,,"Scope 1/1, Sample 1/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
,Time,V,,,Meas. value,,dV,,Temp.,dE,,,,EP
,[s],[mL],,,[mV],,[mL],,[°C],[mV],,,,
,60,1.3050,,,191.3,,0.0020,,19.8,0.2,,,,
,61,1.3065,,,191.5,,0.0015,,19.8,0.2,,,,
,62,1.3070,,,191.7,,0.0005,,19.8,0.2,,,,
,63,1.3085,,,191.9,,0.0015,,19.8,0.2,,,,
,64,1.3100,,,192.0,,0.0015,,19.8,0.1,,,,
,65,1.3100,,,192.3,,0.0000,,19.8,0.3,,,,
,66,1.3100,,,192.4,,0.0000,,19.8,0.1,,,,
,67,1.3100,,,192.4,,0.0000,,19.8,0.0,,,,
,67,1.3100,,,192.5,,0.0000,,19.8,0.1,,,,
,,1.3100,,,192.0,,,,,,,,,EP
Titration (EQP) [2],,,,,,"Scope 1/1, Sample 14/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 14/19",,,,,,,,,,,
,Time,V,,,Meas. value,,dV,,Temp.,dE,,,dE/dV,
,[s],[mL],,,[mV],,[mL],,[°C],[mV],,,[mV/mL],
,0,0.0000,,,192.9,,,,20.1,,,,,
,3,0.0200,,,195.1,,0.0200,,20.1,2.2,,,,
,6,0.0400,,,197.6,,0.0200,,20.1,2.5,,,,
,9,0.0600,,,199.8,,0.0200,,20.1,2.2,,,,
,12,0.0800,,,201.9,,0.0200,,20.1,2.1,,,,
,15,0.1000,,,203.9,,0.0200,,20.1,2.0,,,94.07,
,18,0.1200,,,205.7,,0.0200,,20.1,1.8,,,85.33,
,21,0.1400,,,207.3,,0.0200,,20.1,1.6,,,78.85,
,24,0.1600,,,208.8,,0.0200,,20.1,1.5,,,73.33,
,27,0.1800,,,210.2,,0.0200,,20.1,1.4,,,69.63,
,30,0.2000,,,211.6,,0.0200,,20.1,1.4,,,66.63,
,33,0.2200,,,212.9,,0.0200,,20.1,1.3,,,64.19,
,36,0.2400,,,214.2,,0.0200,,20.1,1.3,,,62.30,
,39,0.2600,,,215.4,,0.0200,,20.1,1.2,,,60.01,
,42,0.2800,,,216.5,,0.0200,,20.1,1.1,,,56.70,
,45,0.3000,,,217.7,,0.0200,,20.1,1.2,,,54.06,
,48,0.3200,,,218.8,,0.0200,,20.1,1.1,,,50.93,
,51,0.3400,,,219.7,,0.0200,,20.1,0.9,,,48.43,
,54,0.3600,,,220.6,,0.0200,,20.1,0.9,,,45.71,
,57,0.3800,,,221.6,,0.0200,,20.1,1.0,,,43.89,
,60,0.4000,,,222.4,,0.0200,,20.1,0.8,,,43.43,
,64,0.4200,,,223.3,,0.0200,,20.1,0.9,,,43.30,
,66,0.4400,,,224.1,,0.0200,,20.1,0.8,,,41.99,
,70,0.4600,,,225.0,,0.0200,,20.1,0.9,,,41.29,
,72,0.4800,,,225.8,,0.0200,,20.1,0.8,,,40.30,
,76,0.5000,,,226.6,,0.0200,,20.1,0.8,,,38.50,
,78,0.5200,,,227.3,,0.0200,,20.1,0.7,,,36.50,
,82,0.5400,,,228.1,,0.0200,,20.1,0.8,,,34.70,
,85,0.5600,,,228.7,,0.0200,,20.1,0.6,,,33.71,
,88,0.5800,,,229.4,,0.0200,,20.1,0.7,,,32.72,
,91,0.6000,,,230.0,,0.0200,,20.1,0.6,,,31.98,
,94,0.6200,,,230.7,,0.0200,,20.1,0.7,,,31.22,
,97,0.6400,,,231.3,,0.0200,,20.1,0.6,,,31.28,
,100,0.6600,,,231.9,,0.0200,,20.1,0.6,,,30.52,
,103,0.6800,,,232.5,,0.0200,,20.1,0.6,,,29.78,
,106,0.7000,,,233.1,,0.0200,,20.1,0.6,,,28.50,
,109,0.7200,,,233.7,,0.0200,,20.1,0.6,,,27.21,
,112,0.7400,,,234.2,,0.0200,,20.1,0.5,,,26.50,
,115,0.7600,,,234.7,,0.0200,,20.1,0.5,,,25.44,
,118,0.7800,,,235.2,,0.0200,,20.1,0.5,,,25.19,
,121,0.8000,,,235.7,,0.0200,,20.1,0.5,,,25.51,
,124,0.8200,,,236.3,,0.0200,,20.1,0.6,,,26.00,
,127,0.8400,,,236.7,,0.0200,,20.1,0.4,,,26.29,
,130,0.8600,,,237.3,,0.0200,,20.1,0.6,,,26.10,
,133,0.8800,,,237.8,,0.0200,,20.1,0.5,,,25.27,
,136,0.9000,,,238.3,,0.0200,,20.1,0.5,,,24.01,
,139,0.9200,,,238.8,,0.0200,,20.1,0.5,,,22.49,
,142,0.9400,,,239.2,,0.0200,,20.1,0.4,,,20.92,
,145,0.9600,,,239.6,,0.0200,,20.1,0.4,,,20.72,
,148,0.9800,,,240.0,,0.0200,,20.1,0.4,,,20.70,
,151,1.0000,,,240.4,,0.0200,,20.1,0.4,,,21.00,
,154,1.0200,,,240.9,,0.0200,,20.1,0.5,,,21.00,
,157,1.0400,,,241.3,,0.0200,,20.1,0.4,,,21.28,
,160,1.0600,,,241.7,,0.0200,,20.1,0.4,,,21.03,
,163,1.0800,,,242.1,,0.0200,,20.1,0.4,,,20.77,
,166,1.1000,,,242.5,,0.0200,,20.1,0.4,,,,
,169,1.1200,,,243.0,,0.0200,,20.1,0.5,,,,
,172,1.1400,,,243.3,,0.0200,,20.1,0.3,,,,
,175,1.1600,,,243.7,,0.0200,,20.1,0.4,,,,
,178,1.1800,,,244.0,,0.0200,,20.1,0.3,,,,
Measure (normal) [1],,,,,,"Scope 1/1, Sample 15/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 15/19",,,,,,,,,,,
,Time,,,Meas. value,,,,Temp.,,,dE,,,
,[s],,,[mV],,,,[°C],,,[mV],,,
,1,,,-57.4,,,,19.8,,,,,,
,2,,,-57.4,,,,19.8,,,0.0,,,
,3,,,-57.4,,,,19.8,,,0.0,,,
,4,,,-57.4,,,,19.8,,,0.0,,,
,5,,,-57.4,,,,19.8,,,0.0,,,
,6,,,-57.4,,,,19.8,,,0.0,,,
,7,,,-57.4,,,,19.8,,,0.0,,,
,8,,,-57.4,,,,19.8,,,0.0,,,
,9,,,-57.4,,,,19.8,,,0.0,,,
,10,,,-57.4,,,,19.8,,,0.0,,,
Titration (EP) [1],,,,,,"Scope 1/1, Sample 15/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 15/19",,,,,,,,,,,
,Time,V,,,Meas. value,,dV,,Temp.,dE,,,,EP
,[s],[mL],,,[mV],,[mL],,[°C],[mV],,,,
,0,0.0000,,,-57.5,,,,19.8,,,,,
,1,0.0010,,,-57.5,,0.0010,,19.8,0.0,,,,
,2,0.0050,,,-57.5,,0.0040,,19.8,0.0,,,,
,3,0.0110,,,-57.0,,0.0060,,19.8,0.5,,,,
,4,0.0195,,,-56.1,,0.0085,,19.8,0.9,,,,
,5,0.0335,,,-54.2,,0.0140,,19.8,1.9,,,,
,6,0.0540,,,-51.0,,0.0205,,19.8,3.2,,,,
,7,0.0780,,,-46.2,,0.0240,,19.8,4.8,,,,
,8,0.1115,,,-38.8,,0.0335,,19.8,7.4,,,,
,9,0.1535,,,-28.0,,0.0420,,19.8,10.8,,,,
,10,0.2045,,,-16.4,,0.0510,,19.8,11.6,,,,
,11,0.2670,,,-4.9,,0.0625,,19.8,11.5,,,,
,12,0.3410,,,4.8,,0.0740,,19.8,9.7,,,,
,13,0.4175,,,17.8,,0.0765,,19.8,13.0,,,,
,14,0.5160,,,30.1,,0.0985,,19.8,12.3,,,,
,15,0.6275,,,43.8,,0.1115,,19.8,13.7,,,,
,16,0.7510,,,61.5,,0.1235,,19.8,17.7,,,,
,17,0.8880,,,81.6,,0.1370,,19.8,20.1,,,,
,18,1.0185,,,103.9,,0.1305,,19.8,22.3,,,,
,19,1.0225,,,109.6,,0.0040,,19.8,5.7,,,,
,20,1.0255,,,105.7,,0.0030,,19.8,-3.9,,,,
,21,1.0295,,,105.1,,0.0040,,19.8,-0.6,,,,
,22,1.0360,,,107.0,,0.0065,,19.8,1.9,,,,
,23,1.0460,,,110.0,,0.0100,,19.8,3.0,,,,
,24,1.0590,,,114.0,,0.0130,,19.8,4.0,,,,
,25,1.0740,,,119.1,,0.0150,,19.8,5.1,,,,
,26,1.0930,,,125.4,,0.0190,,19.8,6.3,,,,
,27,1.1130,,,134.1,,0.0200,,19.8,8.7,,,,
,28,1.1270,,,141.0,,0.0140,,19.8,6.9,,,,
,29,1.1375,,,145.0,,0.0105,,19.8,4.0,,,,
,30,1.1485,,,149.3,,0.0110,,19.8,4.3,,,,
,31,1.1590,,,153.9,,0.0105,,19.8,4.6,,,,
,32,1.1695,,,158.5,,0.0105,,19.8,4.6,,,,
,33,1.1775,,,161.8,,0.0080,,19.8,3.3,,,,
,34,1.1855,,,164.4,,0.0080,,19.8,2.6,,,,
,35,1.1950,,,167.4,,0.0095,,19.8,3.0,,,,
,36,1.2045,,,170.4,,0.0095,,19.8,3.0,,,,
,37,1.2115,,,172.7,,0.0070,,19.8,2.3,,,,
,38,1.2175,,,174.8,,0.0060,,19.8,2.1,,,,
,39,1.2225,,,176.4,,0.0050,,19.8,1.6,,,,
,40,1.2285,,,177.9,,0.0060,,19.8,1.5,,,,
,41,1.2355,,,179.1,,0.0070,,19.8,1.2,,,,
,42,1.2435,,,180.8,,0.0080,,19.8,1.7,,,,
,43,1.2490,,,182.1,,0.0055,,19.8,1.3,,,,
,44,1.2530,,,183.3,,0.0040,,19.8,1.2,,,,
,45,1.2560,,,184.1,,0.0030,,19.8,0.8,,,,
,46,1.2595,,,184.7,,0.0035,,19.8,0.6,,,,
,47,1.2635,,,185.4,,0.0040,,19.8,0.7,,,,
,48,1.2685,,,186.3,,0.0050,,19.8,0.9,,,,
,49,1.2720,,,187.0,,0.0035,,19.8,0.7,,,,
,50,1.2745,,,187.6,,0.0025,,19.8,0.6,,,,
,51,1.2770,,,188.1,,0.0025,,19.8,0.5,,,,
,52,1.2795,,,188.6,,0.0025,,19.8,0.5,,,,
,53,1.2820,,,189.0,,0.0025,,19.8,0.4,,,,
,54,1.2845,,,189.4,,0.0025,,19.8,0.4,,,,
,55,1.2865,,,189.8,,0.0020,,19.8,0.4,,,,
,56,1.2880,,,190.2,,0.0015,,19.8,0.4,,,,
,57,1.2900,,,190.4,,0.0020,,19.8,0.2,,,,
,58,1.2920,,,190.7,,0.0020,,19.8,0.3,,,,
,59,1.2925,,,191.1,,0.0005,,19.8,0.4,,,,
,60,1.2935,,,191.3,,0.0010,,19.8,0.2,,,,
,61,1.2945,,,191.3,,0.0010,,19.8,0.0,,,,
,62,1.2975,,,191.6,,0.0030,,19.8,0.3,,,,
,63,1.2975,,,191.9,,0.0000,,19.8,0.3,,,,
,64,1.2990,,,192.0,,0.0015,,19.8,0.1,,,,
,,1.2990,,,192.0,,,,,,,,,EP
,65,1.2995,,,192.2,,0.0005,,19.8,0.2,,,,
,66,1.2995,,,192.4,,0.0000,,19.8,0.2,,,,
,67,1.2995,,,192.4,,0.0000,,19.8,0.0,,,,
,67,1.2995,,,192.4,,0.0000,,19.8,0.0,,,,
Titration (EQP) [2],,,,,,"Scope 1/1, Sample 15/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 15/19",,,,,,,,,,,
,Time,V,,,Meas. value,,dV,,Temp.,dE,,,dE/dV,
,[s],[mL],,,[mV],,[mL],,[°C],[mV],,,[mV/mL],
,0,0.0000,,,192.8,,,,20.1,,,,,
,3,0.0200,,,195.0,,0.0200,,20.1,2.2,,,,
,6,0.0400,,,197.5,,0.0200,,20.1,2.5,,,,
,9,0.0600,,,199.8,,0.0200,,20.1,2.3,,,,
,12,0.0800,,,201.9,,0.0200,,20.1,2.1,,,,
,15,0.1000,,,203.9,,0.0200,,20.1,2.0,,,95.58,
,18,0.1200,,,205.7,,0.0200,,20.1,1.8,,,86.32,
,21,0.1400,,,207.4,,0.0200,,20.1,1.7,,,80.13,
,24,0.1600,,,208.9,,0.0200,,20.1,1.5,,,74.85,
,27,0.1800,,,210.3,,0.0200,,20.1,1.4,,,70.62,
,30,0.2000,,,211.7,,0.0200,,20.1,1.4,,,66.91,
,33,0.2200,,,213.1,,0.0200,,20.1,1.4,,,64.19,
,36,0.2400,,,214.3,,0.0200,,20.1,1.2,,,61.73,
,39,0.2600,,,215.5,,0.0200,,20.1,1.2,,,58.71,
,42,0.2800,,,216.6,,0.0200,,20.1,1.1,,,55.98,
,45,0.3000,,,217.8,,0.0200,,20.1,1.2,,,53.72,
,48,0.3200,,,218.8,,0.0200,,20.1,1.0,,,51.99,
,51,0.3400,,,219.8,,0.0200,,20.1,1.0,,,49.52,
,54,0.3600,,,220.8,,0.0200,,20.1,1.0,,,46.69,
,57,0.3800,,,221.7,,0.0200,,20.1,0.9,,,44.70,
,60,0.4000,,,222.6,,0.0200,,20.1,0.9,,,43.23,
,64,0.4200,,,223.4,,0.0200,,20.1,0.8,,,41.40,
,66,0.4400,,,224.2,,0.0200,,20.1,0.8,,,40.50,
,70,0.4600,,,225.1,,0.0200,,20.1,0.9,,,40.00,
,72,0.4800,,,225.8,,0.0200,,20.1,0.7,,,39.50,
,76,0.5000,,,226.6,,0.0200,,20.1,0.8,,,38.30,
,78,0.5200,,,227.4,,0.0200,,20.1,0.8,,,36.47,
,82,0.5400,,,228.1,,0.0200,,20.1,0.7,,,35.22,
,84,0.5600,,,228.8,,0.0200,,20.1,0.7,,,34.52,
,88,0.5800,,,229.4,,0.0200,,20.1,0.6,,,33.20,
,91,0.6000,,,230.1,,0.0200,,20.1,0.7,,,32.50,
,94,0.6200,,,230.8,,0.0200,,20.1,0.7,,,31.99,
,97,0.6400,,,231.4,,0.0200,,20.1,0.6,,,31.51,
,100,0.6600,,,232.0,,0.0200,,20.1,0.6,,,30.51,
,103,0.6800,,,232.6,,0.0200,,20.1,0.6,,,29.48,
,106,0.7000,,,233.2,,0.0200,,20.1,0.6,,,29.01,
,109,0.7200,,,233.8,,0.0200,,20.1,0.6,,,28.50,
,112,0.7400,,,234.3,,0.0200,,20.1,0.5,,,27.50,
,115,0.7600,,,234.9,,0.0200,,20.1,0.6,,,26.50,
,118,0.7800,,,235.4,,0.0200,,20.1,0.5,,,25.70,
,121,0.8000,,,235.9,,0.0200,,20.1,0.5,,,25.22,
,124,0.8200,,,236.4,,0.0200,,20.1,0.5,,,24.99,
,127,0.8400,,,236.9,,0.0200,,20.1,0.5,,,25.00,
,130,0.8600,,,237.4,,0.0200,,20.1,0.5,,,25.30,
,133,0.8800,,,237.9,,0.0200,,20.1,0.5,,,24.49,
,136,0.9000,,,238.4,,0.0200,,20.1,0.5,,,23.78,
,139,0.9200,,,238.9,,0.0200,,20.1,0.5,,,23.01,
,142,0.9400,,,239.3,,0.0200,,20.1,0.4,,,22.21,
,145,0.9600,,,239.7,,0.0200,,20.1,0.4,,,21.50,
,148,0.9800,,,240.2,,0.0200,,20.1,0.5,,,20.70,
,151,1.0000,,,240.6,,0.0200,,20.1,0.4,,,20.70,
,154,1.0200,,,241.0,,0.0200,,20.1,0.4,,,21.02,
,157,1.0400,,,241.4,,0.0200,,20.1,0.4,,,20.99,
,160,1.0600,,,241.8,,0.0200,,20.1,0.4,,,21.29,
,163,1.0800,,,242.3,,0.0200,,20.1,0.5,,,21.29,
,166,1.1000,,,242.7,,0.0200,,20.1,0.4,,,,
,169,1.1200,,,243.1,,0.0200,,20.1,0.4,,,,
,172,1.1400,,,243.5,,0.0200,,20.1,0.4,,,,
,175,1.1600,,,243.8,,0.0200,,20.1,0.3,,,,
,178,1.1800,,,244.2,,0.0200,,20.1,0.4,,,,
Measure (normal) [1],,,,,,"Scope 1/1, Sample 16/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 16/19",,,,,,,,,,,
,Time,,,Meas. value,,,,Temp.,,,dE,,,
,[s],,,[mV],,,,[°C],,,[mV],,,
,1,,,-57.6,,,,19.8,,,,,,
,2,,,-57.7,,,,19.8,,,-0.1,,,
,3,,,-57.7,,,,19.8,,,0.0,,,
,4,,,-57.7,,,,19.8,,,0.0,,,
,5,,,-57.7,,,,19.8,,,0.0,,,
,6,,,-57.7,,,,19.8,,,0.0,,,
,7,,,-57.7,,,,19.8,,,0.0,,,
,8,,,-57.7,,,,19.8,,,0.0,,,
,9,,,-57.7,,,,19.8,,,0.0,,,
Titration (EP) [1],,,,,,"Scope 1/1, Sample 16/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 16/19",,,,,,,,,,,
,Time,V,,,Meas. value,,dV,,Temp.,dE,,,,EP
,[s],[mL],,,[mV],,[mL],,[°C],[mV],,,,
,0,0.0000,,,-57.7,,,,19.8,,,,,
,1,0.0010,,,-57.7,,0.0010,,19.8,0.0,,,,
,2,0.0050,,,-57.7,,0.0040,,19.8,0.0,,,,
,3,0.0110,,,-57.2,,0.0060,,19.8,0.5,,,,
,4,0.0200,,,-56.2,,0.0090,,19.8,1.0,,,,
,5,0.0340,,,-54.1,,0.0140,,19.8,2.1,,,,
,6,0.0550,,,-50.3,,0.0210,,19.8,3.8,,,,
,7,0.0800,,,-45.4,,0.0250,,19.8,4.9,,,,
,8,0.1145,,,-36.8,,0.0345,,19.8,8.6,,,,
,9,0.1565,,,-26.0,,0.0420,,19.8,10.8,,,,
,10,0.2080,,,-12.8,,0.0515,,19.8,13.2,,,,
,11,0.2700,,,1.1,,0.0620,,19.8,13.9,,,,
,12,0.3440,,,13.6,,0.0740,,19.8,12.5,,,,
,13,0.4305,,,24.9,,0.0865,,19.8,11.3,,,,
,14,0.5195,,,38.8,,0.0890,,19.8,13.9,,,,
,15,0.6310,,,51.1,,0.1115,,19.8,12.3,,,,
,16,0.7550,,,67.6,,0.1240,,19.8,16.5,,,,
,17,0.8920,,,87.5,,0.1370,,19.8,19.9,,,,
,18,0.9790,,,113.9,,0.0870,,19.8,26.4,,,,
,19,0.9800,,,113.0,,0.0010,,19.8,-0.9,,,,
,20,0.9830,,,109.3,,0.0030,,19.8,-3.7,,,,
,21,0.9880,,,109.9,,0.0050,,19.8,0.6,,,,
,22,0.9955,,,112.1,,0.0075,,19.8,2.2,,,,
,23,1.0070,,,116.1,,0.0115,,19.8,4.0,,,,
,24,1.0215,,,120.9,,0.0145,,19.8,4.8,,,,
,25,1.0385,,,127.2,,0.0170,,19.8,6.3,,,,
,26,1.0555,,,133.8,,0.0170,,19.8,6.6,,,,
,27,1.0725,,,142.4,,0.0170,,19.8,8.6,,,,
,28,1.0805,,,148.1,,0.0080,,19.8,5.7,,,,
,29,1.0870,,,151.5,,0.0065,,19.8,3.4,,,,
,30,1.0940,,,154.4,,0.0070,,19.8,2.9,,,,
,31,1.1030,,,157.2,,0.0090,,19.8,2.8,,,,
,32,1.1120,,,161.2,,0.0090,,19.8,4.0,,,,
,33,1.1215,,,165.0,,0.0095,,19.8,3.8,,,,
,34,1.1285,,,168.2,,0.0070,,19.8,3.2,,,,
,35,1.1345,,,170.7,,0.0060,,19.8,2.5,,,,
,36,1.1405,,,172.7,,0.0060,,19.8,2.0,,,,
,37,1.1460,,,174.3,,0.0055,,19.8,1.6,,,,
,38,1.1530,,,176.2,,0.0070,,19.8,1.9,,,,
,39,1.1605,,,178.0,,0.0075,,19.8,1.8,,,,
,40,1.1675,,,179.6,,0.0070,,19.8,1.6,,,,
,41,1.1740,,,181.0,,0.0065,,19.8,1.4,,,,
,42,1.1795,,,182.4,,0.0055,,19.8,1.4,,,,
,43,1.1830,,,183.3,,0.0035,,19.8,0.9,,,,
,44,1.1870,,,184.2,,0.0040,,19.8,0.9,,,,
,45,1.1910,,,184.9,,0.0040,,19.8,0.7,,,,
,46,1.1955,,,185.8,,0.0045,,19.8,0.9,,,,
,47,1.1990,,,186.6,,0.0035,,19.8,0.8,,,,
,48,1.2015,,,187.1,,0.0025,,19.8,0.5,,,,
,49,1.2040,,,187.7,,0.0025,,19.8,0.6,,,,
,50,1.2065,,,188.1,,0.0025,,19.8,0.4,,,,
,51,1.2090,,,188.6,,0.0025,,19.8,0.5,,,,
,52,1.2115,,,189.0,,0.0025,,19.8,0.4,,,,
,53,1.2140,,,189.5,,0.0025,,19.8,0.5,,,,
,54,1.2165,,,189.9,,0.0025,,19.8,0.4,,,,
,55,1.2185,,,190.3,,0.0020,,19.8,0.4,,,,
,56,1.2190,,,190.6,,0.0005,,19.8,0.3,,,,
,57,1.2205,,,190.8,,0.0015,,19.8,0.2,,,,
,58,1.2210,,,191.0,,0.0005,,19.8,0.2,,,,
,59,1.2230,,,191.2,,0.0020,,19.8,0.2,,,,
,60,1.2245,,,191.4,,0.0015,,19.8,0.2,,,,
,61,1.2255,,,191.7,,0.0010,,19.8,0.3,,,,
,62,1.2255,,,191.8,,0.0000,,19.8,0.1,,,,
,63,1.2280,,,191.9,,0.0025,,19.8,0.1,,,,
,,1.2285,,,192.0,,,,,,,,,EP
,64,1.2295,,,192.2,,0.0015,,19.8,0.3,,,,
,65,1.2295,,,192.4,,0.0000,,19.8,0.2,,,,
,66,1.2295,,,192.5,,0.0000,,19.8,0.1,,,,
,66,1.2295,,,192.5,,0.0000,,19.8,0.0,,,,
Titration (EQP) [2],,,,,,"Scope 1/1, Sample 16/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 16/19",,,,,,,,,,,
,Time,V,,,Meas. value,,dV,,Temp.,dE,,,dE/dV,
,[s],[mL],,,[mV],,[mL],,[°C],[mV],,,[mV/mL],
,0,0.0000,,,193.0,,,,20.1,,,,,
,3,0.0200,,,195.4,,0.0200,,20.1,2.4,,,,
,6,0.0400,,,197.9,,0.0200,,20.1,2.5,,,,
,9,0.0600,,,200.3,,0.0200,,20.1,2.4,,,,
,12,0.0800,,,202.4,,0.0200,,20.1,2.1,,,,
,15,0.1000,,,204.5,,0.0200,,20.1,2.1,,,97.79,
,18,0.1200,,,206.3,,0.0200,,20.1,1.8,,,89.11,
,21,0.1400,,,208.1,,0.0200,,20.1,1.8,,,82.34,
,24,0.1600,,,209.6,,0.0200,,20.1,1.5,,,77.12,
,27,0.1800,,,211.1,,0.0200,,20.1,1.5,,,72.35,
,30,0.2000,,,212.5,,0.0200,,20.1,1.4,,,69.19,
,33,0.2200,,,213.9,,0.0200,,20.1,1.4,,,65.92,
,36,0.2400,,,215.2,,0.0200,,20.1,1.3,,,63.49,
,39,0.2600,,,216.4,,0.0200,,20.1,1.2,,,60.22,
,42,0.2800,,,217.6,,0.0200,,20.1,1.2,,,57.49,
,45,0.3000,,,218.7,,0.0200,,20.1,1.1,,,54.71,
,48,0.3200,,,219.8,,0.0200,,20.1,1.1,,,52.21,
,51,0.3400,,,220.8,,0.0200,,20.1,1.0,,,49.99,
,54,0.3600,,,221.8,,0.0200,,20.1,1.0,,,47.43,
,57,0.3800,,,222.7,,0.0200,,20.1,0.9,,,45.70,
,60,0.4000,,,223.6,,0.0200,,20.1,0.9,,,44.22,
,64,0.4200,,,224.5,,0.0200,,20.1,0.9,,,43.49,
,66,0.4400,,,225.3,,0.0200,,20.1,0.8,,,42.21,
,70,0.4600,,,226.2,,0.0200,,20.1,0.9,,,41.57,
,72,0.4800,,,227.0,,0.0200,,20.1,0.8,,,40.01,
,76,0.5000,,,227.8,,0.0200,,20.1,0.8,,,38.21,
,78,0.5200,,,228.5,,0.0200,,20.1,0.7,,,36.79,
,82,0.5400,,,229.3,,0.0200,,20.1,0.8,,,34.93,
,84,0.5600,,,229.9,,0.0200,,20.1,0.6,,,34.20,
,88,0.5800,,,230.6,,0.0200,,20.1,0.7,,,33.52,
,91,0.6000,,,231.3,,0.0200,,20.1,0.7,,,32.98,
,94,0.6200,,,231.9,,0.0200,,20.1,0.6,,,32.21,
,97,0.6400,,,232.6,,0.0200,,20.1,0.7,,,31.79,
,100,0.6600,,,233.2,,0.0200,,20.1,0.6,,,30.99,
,103,0.6800,,,233.8,,0.0200,,20.1,0.6,,,30.81,
,106,0.7000,,,234.4,,0.0200,,20.1,0.6,,,29.49,
,109,0.7200,,,235.0,,0.0200,,20.1,0.6,,,27.98,
,112,0.7400,,,235.6,,0.0200,,20.1,0.6,,,26.72,
,115,0.7600,,,236.1,,0.0200,,20.1,0.5,,,25.92,
,118,0.7800,,,236.5,,0.0200,,20.1,0.4,,,25.72,
,121,0.8000,,,237.1,,0.0200,,20.1,0.6,,,25.99,
,124,0.8200,,,237.6,,0.0200,,20.1,0.5,,,26.48,
,127,0.8400,,,238.2,,0.0200,,20.1,0.6,,,27.09,
,130,0.8600,,,238.7,,0.0200,,20.1,0.5,,,26.58,
,133,0.8800,,,239.2,,0.0200,,20.1,0.5,,,25.01,
,136,0.9000,,,239.7,,0.0200,,20.1,0.5,,,23.49,
,139,0.9200,,,240.2,,0.0200,,20.1,0.5,,,22.20,
,142,0.9400,,,240.6,,0.0200,,20.1,0.4,,,21.72,
,145,0.9600,,,241.0,,0.0200,,20.1,0.4,,,21.21,
,148,0.9800,,,241.4,,0.0200,,20.1,0.4,,,20.70,
,151,1.0000,,,241.9,,0.0200,,20.1,0.5,,,20.99,
,154,1.0200,,,242.3,,0.0200,,20.1,0.4,,,,
,157,1.0400,,,242.7,,0.0200,,20.1,0.4,,,,
,160,1.0600,,,243.1,,0.0200,,20.1,0.4,,,,
,163,1.0800,,,243.6,,0.0200,,20.1,0.5,,,,
,166,1.1000,,,244.0,,0.0200,,20.1,0.4,,,,
Measure (normal) [1],,,,,,"Scope 1/1, Sample 17/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 17/19",,,,,,,,,,,
,Time,,,Meas. value,,,,Temp.,,,dE,,,
,[s],,,[mV],,,,[°C],,,[mV],,,
,1,,,-64.5,,,,19.8,,,,,,
,2,,,-64.5,,,,19.8,,,0.0,,,
,3,,,-64.5,,,,19.8,,,0.0,,,
,4,,,-64.5,,,,19.8,,,0.0,,,
,5,,,-64.5,,,,19.8,,,0.0,,,
,6,,,-64.5,,,,19.8,,,0.0,,,
,7,,,-64.5,,,,19.8,,,0.0,,,
,8,,,-64.5,,,,19.8,,,0.0,,,
,9,,,-64.5,,,,19.8,,,0.0,,,
Titration (EP) [1],,,,,,"Scope 1/1, Sample 17/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 17/19",,,,,,,,,,,
,Time,V,,,Meas. value,,dV,,Temp.,dE,,,,EP
,[s],[mL],,,[mV],,[mL],,[°C],[mV],,,,
,0,0.0000,,,-64.6,,,,19.8,,,,,
,1,0.0010,,,-64.6,,0.0010,,19.8,0.0,,,,
,2,0.0050,,,-64.5,,0.0040,,19.8,0.1,,,,
,3,0.0110,,,-64.3,,0.0060,,19.8,0.2,,,,
,4,0.0195,,,-63.4,,0.0085,,19.8,0.9,,,,
,5,0.0335,,,-61.9,,0.0140,,19.8,1.5,,,,
,6,0.0540,,,-59.0,,0.0205,,19.8,2.9,,,,
,7,0.0780,,,-55.2,,0.0240,,19.8,3.8,,,,
,8,0.1120,,,-49.1,,0.0340,,19.8,6.1,,,,
,9,0.1535,,,-39.6,,0.0415,,19.8,9.5,,,,
