"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.2335,205.3,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.2535,207.3,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.2735,209.1,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.2935,210.8,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.3135,212.4,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.3335,213.8,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.3535,215.3,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.3735,216.6,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.3935,217.8,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.4135,219.1,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.4335,220.3,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.4535,221.4,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.4735,222.5,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.4935,223.4,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.5135,224.4,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.5335,225.4,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.5535,226.3,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.5735,227.2,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.5935,228,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.6135,228.8,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.6335,229.6,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.6535,230.4,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.6735,231.2,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
1.6935,231.8,20.2,"AMB-4-2",46.69,26.6,14.2,6.9,7,203.88,232.02
