"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.544,204.7,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.564,206.3,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.584,207.7,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.604,209.1,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.624,210.5,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.644,211.8,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.664,213,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.684,214.2,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.704,215.3,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.724,216.4,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.744,217.5,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.764,218.4,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.784,219.3,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.804,220.2,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.824,221,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.844,221.9,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.864,222.7,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.884,223.6,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.904,224.3,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.924,225.1,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.944,225.8,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.964,226.5,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
1.984,227.2,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
2.004,227.8,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
2.024,228.5,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
2.044,229.2,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
2.064,229.7,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
2.084,230.4,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
2.104,231,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
2.124,231.5,20.2,"BAYSTD1-02202020-1",59.436,27.53,11.92,6.9,7,203.88,232.02
