====================================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Press   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt    psir  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
------------------------------------------------------------------------------------------------------------------------------------
2019/12/21 13:49:14 12.06  42204  31777 31.4694 27.43  27.06   3.307   2.283  7.84   -67.0   1.5   0.3     5.5   91.8   8.34    12.5
2019/12/21 13:55:14 12.22  44120  33348 29.9871 28.68  28.43   3.345   2.307  7.85   -67.3   1.3   0.3     7.8   92.0   8.25    12.5
2019/12/21 14:01:14 12.26  44580  33730 29.6468 28.98  28.76   3.394   2.340  7.85   -67.5   1.0   0.2     6.8   91.5   8.19    12.5
2019/12/21 14:07:14 12.28  44889  33985 29.4244 29.18  28.98   3.429   2.364  7.85   -67.6   2.0   0.5     6.2   91.3   8.15    12.5
2019/12/21 14:13:14 12.31  45234  34272 29.1779 29.40  29.23   3.477   2.397  7.85   -67.7   1.2   0.3     7.2   92.1   8.20    12.5
2019/12/21 14:19:14 12.31  45289  34314 29.1422 29.44  29.27   3.512   2.420  7.85   -67.8   0.6   0.1     7.2   91.9   8.18    12.5
2019/12/21 14:25:14 12.31  45211  34252 29.1954 29.39  29.21   3.543   2.442  7.85   -67.7   0.7   0.2     6.9   91.9   8.19    12.5
2019/12/21 14:31:14 12.32  45331  34351 29.1116 29.47  29.30   3.573   2.462  7.86   -67.9   1.3   0.3     9.8   92.3   8.22    12.5
2019/12/21 14:37:14 12.34  45465  34468 29.0126 29.55  29.40   3.606   2.485  7.86   -67.9   1.8   0.4    10.9   92.2   8.20    12.4
2019/12/21 14:43:14 12.32  45321  34341 29.1199 29.46  29.29   3.620   2.495  7.85   -67.9   1.1   0.3     5.0   91.9   8.18    12.5
2019/12/21 14:49:14 12.32  45385  34396 29.0727 29.50  29.34   3.648   2.514  7.85   -67.8   2.0   0.5     5.4   91.7   8.16    12.5
2019/12/21 14:55:14 12.32  45349  34364 29.1000 29.48  29.31   3.663   2.525  7.85   -67.7   0.6   0.1     5.4   91.6   8.16    12.5
2019/12/21 15:01:14 12.30  45055  34123 29.3057 29.29  29.10   3.686   2.540  7.85   -67.7   1.3   0.3     4.7   91.8   8.19    12.5
2019/12/21 15:07:14 12.31  45226  34264 29.1854 29.40  29.22   3.689   2.543  7.85   -67.8   0.6   0.1     5.4   91.8   8.18    12.5
2019/12/21 15:13:14 12.32  45305  34329 29.1298 29.45  29.28   3.704   2.553  7.85   -67.7   1.1   0.3     5.6   91.7   8.17    12.5
2019/12/21 15:19:14 12.33  45418  34424 29.0496 29.52  29.36   3.713   2.559  7.86   -67.9   1.6   0.4     5.2   92.0   8.19    12.5
2019/12/21 15:25:14 12.36  45765  34712 28.8085 29.75  29.61   3.729   2.570  7.86   -68.2   0.8   0.2     6.0   92.3   8.20    12.5
2019/12/21 15:31:14 12.38  46062  34957 28.6065 29.94  29.83   3.722   2.564  7.87   -68.6   0.4   0.1     5.3   92.6   8.20    12.5
2019/12/21 15:37:14 12.38  46089  34982 28.5858 29.96  29.85   3.729   2.569  7.87   -68.5   0.6   0.1     4.5   92.7   8.21    12.6
2019/12/21 15:43:14 12.38  46066  34959 28.6049 29.94  29.83   3.753   2.585  7.87   -68.6   0.8   0.2     5.0   92.9   8.23    12.5
2019/12/21 15:49:14 12.39  46212  35080 28.5062 30.04  29.93   3.775   2.600  7.87   -68.6   1.2   0.3     4.2   92.7   8.21    12.4
2019/12/21 15:55:14 12.39  46252  35113 28.4793 30.06  29.96   3.767   2.595  7.87   -68.6   0.8   0.2     5.3   92.5   8.19    12.5
2019/12/21 16:01:14 12.40  46404  35239 28.3774 30.16  30.07   3.782   2.605  7.87   -68.7   0.9   0.2     4.8   92.8   8.21    12.5
2019/12/21 16:07:14 12.42  46596  35396 28.2514 30.29  30.21   3.741   2.577  7.87   -69.0   2.1   0.5     5.2   93.2   8.24    12.5
2019/12/21 16:13:14 12.44  46870  35622 28.0725 30.47  30.41   3.724   2.564  7.88   -69.0   0.8   0.2     5.6   93.5   8.25    12.5
2019/12/21 16:19:14 12.41  46579  35381 28.2639 30.28  30.20   3.723   2.564  7.87   -68.9   1.1   0.3     5.0   93.2   8.24    12.3
2019/12/21 16:25:14 12.42  46643  35437 28.2195 30.32  30.24   3.713   2.557  7.88   -69.0   0.9   0.2     5.8   93.4   8.25    12.5
2019/12/21 16:31:14 12.42  46666  35454 28.2055 30.33  30.26   3.708   2.554  7.88   -69.0   0.8   0.2     5.9   93.4   8.25    12.5
2019/12/21 16:37:14 12.43  46745  35519 28.1543 30.38  30.32   3.704   2.551  7.88   -69.2   0.7   0.2     5.3   93.5   8.26    12.5
2019/12/21 16:43:14 12.43  46743  35518 28.1551 30.38  30.32   3.668   2.526  7.88   -69.0   1.8   0.4     4.7   93.4   8.24    12.5
2019/12/21 16:49:14 12.43  46773  35542 28.1357 30.40  30.34   3.623   2.495  7.87   -68.8   1.7   0.4     5.8   93.4   8.24    12.5
2019/12/21 16:55:14 12.43  46829  35590 28.0979 30.44  30.38   3.581   2.466  7.88   -69.1   1.6   0.4     5.7   93.7   8.26    12.5
2019/12/21 17:01:14 12.44  46893  35641 28.0579 30.48  30.43   3.553   2.447  7.88   -69.2   1.5   0.3     5.1   93.5   8.25    12.5
2019/12/21 17:07:14 12.44  46919  35663 28.0402 30.50  30.44   3.519   2.423  7.88   -69.2   1.2   0.3     5.8   93.5   8.25    12.5
2019/12/21 17:13:14 12.43  46936  35671 28.0341 30.51  30.46   3.488   2.402  7.88   -69.2   1.4   0.3     5.4   93.7   8.26    12.5
2019/12/21 17:19:14 12.45  47067  35785 27.9445 30.59  30.55   3.457   2.380  7.88   -69.3   1.7   0.4     5.6   93.7   8.26    12.5
2019/12/21 17:25:13 12.47  47257  35945 27.8200 30.72  30.69   3.408   2.346  7.88   -69.3   0.8   0.2     5.7   94.0   8.27    12.5
2019/12/21 17:31:14 12.48  47379  36049 27.7402 30.80  30.78   3.356   2.311  7.89   -69.6   1.4   0.3     6.4   94.1   8.27    12.5
2019/12/21 17:37:14 12.49  47430  36093 27.7064 30.83  30.81   3.302   2.273  7.89   -69.6   1.8   0.4     6.4   94.1   8.27    12.5
2019/12/21 17:43:14 12.49  47422  36087 27.7109 30.82  30.81   3.266   2.248  7.88   -69.5   1.1   0.3     7.0   94.2   8.28    12.5
2019/12/21 17:49:14 12.48  47333  36011 27.7695 30.77  30.74   3.214   2.212  7.89   -69.6   1.4   0.3     5.9   94.1   8.28    12.4
2019/12/21 17:55:14 12.47  47257  35947 27.8185 30.72  30.69   3.169   2.182  7.88   -69.5   2.0   0.5     9.2   94.2   8.29    12.3
2019/12/21 18:01:14 12.47  47222  35918 27.8412 30.69  30.66   3.133   2.157  7.88   -69.5   0.8   0.2     6.4   93.9   8.26    12.5
2019/12/21 18:07:14 12.46  47065  35789 27.9415 30.59  30.55   3.060   2.107  7.88   -69.3   1.6   0.4     7.3   93.8   8.26    12.6
2019/12/21 18:13:14 12.45  46992  35727 27.9904 30.54  30.50   3.005   2.069  7.88   -69.0   1.7   0.4    10.1   93.7   8.26    12.5
2019/12/21 18:19:14 12.44  46893  35645 28.0548 30.48  30.43   2.952   2.033  7.88   -69.1   1.6   0.4    11.5   93.4   8.24    12.5
2019/12/21 18:25:14 12.42  46611  35413 28.2381 30.30  30.22   2.894   1.993  7.87   -68.8   1.8   0.4    12.4   93.2   8.23    12.5
2019/12/21 18:31:14 12.43  46679  35470 28.1931 30.34  30.27   2.832   1.950  7.87   -68.8   0.6   0.1    14.7   93.1   8.22    12.5
2019/12/21 18:37:14 12.42  46585  35394 28.2537 30.28  30.20   2.779   1.914  7.87   -68.8   1.9   0.4    15.8   93.1   8.23    12.5
2019/12/21 18:43:14 12.42  46555  35371 28.2717 30.26  30.18   2.706   1.864  7.87   -68.7   2.5   0.6    17.1   93.0   8.22    12.5
2019/12/21 18:49:14 12.42  46498  35325 28.3084 30.22  30.14   2.647   1.823  7.87   -68.7   2.1   0.5    18.9   93.0   8.22    12.5
2019/12/21 18:55:14 12.41  46407  35252 28.3672 30.16  30.08   2.571   1.771  7.87   -68.6   1.4   0.3    18.7   92.9   8.22    12.5
2019/12/21 19:01:14 12.37  45847  34791 28.7430 29.80  29.67   2.519   1.736  7.87   -68.4   1.3   0.3    16.1   93.1   8.26    12.7
2019/12/21 19:07:14 12.34  45388  34409 29.0620 29.50  29.34   2.455   1.692  7.86   -68.2   1.8   0.4    20.0   93.0   8.27    12.5
2019/12/21 19:13:14 12.36  45631  34613 28.8906 29.66  29.52   2.389   1.646  7.86   -68.1   1.4   0.3    20.6   93.0   8.27    12.5
2019/12/21 19:19:14 12.30  44947  34049 29.3696 29.22  29.02   2.327   1.604  7.86   -68.1   1.4   0.3    17.3   92.9   8.29    12.5
2019/12/21 19:25:14 12.32  45060  34150 29.2822 29.29  29.11   2.259   1.557  7.86   -68.2   1.8   0.4    21.4   92.8   8.28    12.5
2019/12/21 19:31:14 12.28  44475  33673 29.6975 28.91  28.69   2.183   1.505  7.86   -67.9   1.6   0.4    26.7   92.8   8.30    12.5
2019/12/21 19:37:14 12.23  43835  33144 30.1718 28.49  28.23   2.133   1.471  7.85   -67.7   1.5   0.3    22.8   92.7   8.33    12.5
2019/12/21 19:43:14 12.23  43860  33166 30.1513 28.51  28.24   2.097   1.447  7.85   -67.7   1.1   0.3    21.7   92.7   8.32    12.5
2019/12/21 19:49:14 12.08  41498  31253 31.9965 26.97  26.56   2.038   1.407  7.84   -66.9   1.7   0.4    16.2   92.8   8.45    12.3
2019/12/21 19:55:14 12.06  41002  30865 32.3994 26.65  26.21   2.003   1.383  7.84   -66.9   2.0   0.5    19.4   92.9   8.48    12.5
2019/12/21 20:01:14 12.07  41145  30983 32.2759 26.74  26.31   1.967   1.359  7.84   -67.0   2.1   0.5    23.0   93.1   8.49    12.5
2019/12/21 20:07:14 12.08  41252  31071 32.1846 26.81  26.39   1.887   1.303  7.84   -66.8   0.9   0.2    19.8   93.1   8.49    12.5
2019/12/21 20:13:14 12.08  41140  30990 32.2687 26.74  26.31   1.855   1.281  7.84   -66.7   1.7   0.4    20.4   93.0   8.48    12.5
2019/12/21 20:19:14 12.10  41385  31191 32.0606 26.90  26.48   1.804   1.246  7.84   -67.0   1.6   0.4    18.4   92.9   8.46    12.5
2019/12/21 20:25:14 12.13  41771  31504 31.7416 27.15  26.76   1.778   1.228  7.84   -67.0   1.4   0.3    24.7   92.9   8.44    12.5
2019/12/21 20:31:14 12.13  41653  31412 31.8354 27.07  26.67   1.709   1.180  7.84   -67.0   1.7   0.4    20.6   92.8   8.43    12.5
2019/12/21 20:37:14 12.09  41009  30898 32.3646 26.66  26.22   1.664   1.150  7.84   -66.8   2.2   0.5    15.3   92.9   8.48    12.5
2019/12/21 20:43:14 12.08  40838  30763 32.5064 26.54  26.10   1.630   1.126  7.84   -66.7   1.4   0.3    15.5   92.9   8.49    12.5
2019/12/21 20:49:14 12.08  40988  30877 32.3866 26.64  26.20   1.607   1.110  7.84   -66.7   2.4   0.5    13.4   92.9   8.48    12.5
2019/12/21 20:55:14 12.08  40908  30813 32.4538 26.59  26.15   1.535   1.061  7.84   -66.7   1.6   0.4    13.2   92.9   8.48    12.5
2019/12/21 21:01:14 12.08  40821  30749 32.5214 26.53  26.08   1.540   1.064  7.84   -66.7   1.6   0.4    13.6   92.9   8.48    12.5
2019/12/21 21:07:14 12.07  40729  30667 32.6083 26.47  26.02   1.464   1.011  7.84   -66.7   2.1   0.5    12.9   93.0   8.50    12.5
2019/12/21 21:13:14 12.07  40605  30574 32.7078 26.39  25.93   1.444   0.997  7.83   -66.3   2.8   0.7    12.8   93.0   8.50    12.5
2019/12/21 21:19:14 12.07  40781  30710 32.5627 26.51  26.06   1.414   0.977  7.83   -66.7   1.5   0.3    12.0   92.9   8.48    12.5
2019/12/21 21:25:14 12.08  40721  30672 32.6032 26.47  26.01   1.378   0.952  7.83   -66.6   1.0   0.2    11.7   92.9   8.49    12.5
2019/12/21 21:31:14 12.09  40724  30681 32.5938 26.47  26.02   1.362   0.941  7.83   -66.6   1.4   0.3    11.9   92.7   8.47    12.4
2019/12/21 21:37:14 12.09  40680  30650 32.6260 26.44  25.99   1.337   0.924  7.83   -66.7   1.6   0.4    11.6   92.8   8.48    12.3
2019/12/21 21:43:14 12.09  40626  30611 32.6682 26.41  25.95   1.335   0.922  7.83   -66.5   1.7   0.4    11.8   92.7   8.47    12.3
2019/12/21 21:49:14 12.09  40572  30571 32.7109 26.37  25.91   1.311   0.906  7.83   -66.5   0.2   0.1    12.0   92.8   8.49    12.5
2019/12/21 21:55:14 12.09  40350  30400 32.8943 26.23  25.75   1.324   0.915  7.83   -66.5   2.0   0.5    12.0   92.9   8.50    12.5
2019/12/21 22:01:14 12.09  40118  30222 33.0883 26.08  25.59   1.305   0.902  7.83   -66.5   1.6   0.4    10.6   93.0   8.52    12.3
2019/12/21 22:07:14 12.08  39966  30100 33.2225 25.98  25.48   1.312   0.907  7.83   -66.4   0.9   0.2    10.8   93.1   8.53    12.5
2019/12/21 22:13:14 12.07  39914  30057 33.2700 25.94  25.45   1.319   0.912  7.83   -66.3   1.5   0.3    10.8   92.9   8.52    12.5
2019/12/21 22:19:14 12.07  39992  30112 33.2090 25.99  25.50   1.305   0.902  7.83   -66.3   1.2   0.3    12.2   92.7   8.50    12.5
2019/12/21 22:25:14 12.07  39908  30050 33.2775 25.94  25.44   1.304   0.901  7.83   -66.3   1.9   0.4    11.8   92.7   8.51    12.5
2019/12/21 22:31:14 12.06  40019  30129 33.1902 26.01  25.52   1.275   0.881  7.83   -66.2   2.0   0.5    13.5   92.6   8.49    12.6
2019/12/21 22:37:14 12.06  40050  30152 33.1649 26.03  25.54   1.311   0.906  7.83   -66.2   1.6   0.4    15.3   92.4   8.47    12.5
2019/12/21 22:43:14 12.03  39271  29540 33.8524 25.53  24.99   1.300   0.899  7.82   -66.0   1.2   0.3    20.8   92.5   8.52    12.5
2019/12/21 22:49:14 12.01  38957  29292 34.1385 25.32  24.77   1.306   0.903  7.82   -65.9   1.3   0.3    19.3   92.6   8.54    12.5
2019/12/21 22:55:14 12.00  38824  29187 34.2624 25.24  24.68   1.321   0.914  7.82   -66.0   2.2   0.5    19.8   92.6   8.55    12.5
2019/12/21 23:01:14 12.01  38894  29247 34.1920 25.28  24.73   1.327   0.918  7.82   -65.9   2.1   0.5    18.6   92.6   8.54    12.5
2019/12/21 23:07:14 12.01  38903  29251 34.1863 25.29  24.73   1.346   0.931  7.82   -65.9   2.2   0.5    18.9   92.7   8.55    12.5
2019/12/21 23:13:14 11.99  38493  28928 34.5683 25.02  24.45   1.350   0.934  7.82   -65.6   2.1   0.5    18.1   92.8   8.58    12.5
2019/12/21 23:19:14 11.98  38327  28795 34.7278 24.91  24.33   1.392   0.963  7.82   -65.7   2.3   0.5    18.2   92.8   8.58    12.5
2019/12/21 23:25:14 11.98  38251  28735 34.8003 24.86  24.28   1.393   0.964  7.82   -65.7   1.4   0.3    16.9   92.7   8.58    12.5
2019/12/21 23:31:14 11.97  38248  28731 34.8051 24.86  24.27   1.411   0.976  7.82   -65.7   3.0   0.7    17.7   92.7   8.58    12.5
2019/12/21 23:37:13 11.96  37944  28497 35.0913 24.66  24.06   1.434   0.992  7.82   -65.7   2.0   0.5    16.6   92.8   8.60    12.4
2019/12/21 23:43:14 11.95  37672  28284 35.3554 24.49  23.87   1.467   1.015  7.82   -65.7   1.8   0.4    15.4   92.7   8.61    12.3
2019/12/21 23:49:14 11.95  37572  28207 35.4528 24.42  23.80   1.500   1.038  7.82   -65.6   1.6   0.4    15.3   92.8   8.62    12.5
2019/12/21 23:55:14 11.94  37463  28120 35.5617 24.35  23.72   1.534   1.062  7.82   -65.6   1.3   0.3    15.1   92.7   8.62    12.5
2019/12/22 00:01:14 11.94  37345  28028 35.6782 24.27  23.64   1.566   1.083  7.82   -65.6   2.1   0.5    15.6   92.6   8.62    12.5
2019/12/22 00:07:14 11.93  37153  27877 35.8713 24.15  23.51   1.598   1.106  7.82   -65.5   1.6   0.4    15.0   92.8   8.64    12.5
2019/12/22 00:13:14 11.93  37100  27835 35.9254 24.11  23.47   1.651   1.143  7.81   -65.5   1.9   0.4    14.0   92.7   8.63    12.5
2019/12/22 00:19:13 11.91  36724  27541 36.3095 23.87  23.21   1.693   1.172  7.81   -65.4   1.7   0.4    13.1   92.7   8.65    12.6
2019/12/22 00:25:14 11.90  36552  27408 36.4854 23.76  23.09   1.719   1.190  7.81   -65.1   1.5   0.4    13.6   92.7   8.66    12.3
2019/12/22 00:31:14 11.90  36518  27381 36.5212 23.74  23.07   1.763   1.221  7.81   -65.3   1.5   0.3    13.6   92.6   8.66    12.5
2019/12/22 00:37:14 11.88  36220  27146 36.8378 23.54  22.86   1.799   1.246  7.81   -65.3   2.5   0.6    12.6   92.7   8.68    12.3
2019/12/22 00:43:14 11.88  36181  27117 36.8776 23.52  22.83   1.831   1.268  7.81   -65.2   0.7   0.2    12.3   92.8   8.68    12.5
2019/12/22 00:49:14 11.88  36261  27177 36.7955 23.57  22.89   1.867   1.293  7.81   -65.2   1.2   0.3    13.1   92.7   8.68    12.5
2019/12/22 00:55:14 11.89  36309  27214 36.7453 23.60  22.92   1.904   1.319  7.81   -65.2   1.2   0.3    12.0   92.6   8.66    12.5
2019/12/22 01:01:14 11.87  36193  27114 36.8810 23.53  22.84   1.944   1.346  7.80   -64.9   1.7   0.4    11.0   92.6   8.67    12.5
2019/12/22 01:07:14 11.86  36075  27019 37.0116 23.45  22.76   1.999   1.385  7.81   -65.2   1.6   0.4    11.5   92.7   8.68    12.5
2019/12/22 01:13:14 11.89  36408  27292 36.6401 23.67  22.99   2.031   1.406  7.81   -65.1   1.7   0.4    12.2   92.5   8.65    12.5
2019/12/22 01:19:14 11.89  36449  27325 36.5963 23.69  23.02   2.072   1.435  7.81   -65.1   2.4   0.6    11.0   92.4   8.64    12.3
2019/12/22 01:25:14 11.87  36212  27133 36.8557 23.54  22.85   2.128   1.473  7.81   -65.1   1.3   0.3    11.1   92.4   8.65    12.5
2019/12/22 01:31:14 11.89  36354  27248 36.6999 23.63  22.95   2.174   1.505  7.81   -65.2   2.0   0.5    10.3   92.6   8.66    12.5
2019/12/22 01:37:14 11.91  36739  27552 36.2947 23.88  23.22   2.213   1.532  7.81   -65.2   1.9   0.4    10.4   92.5   8.63    12.4
2019/12/22 01:43:14 11.91  36651  27485 36.3830 23.82  23.16   2.257   1.563  7.80   -64.9   1.4   0.3    10.3   92.4   8.62    12.5
2019/12/22 01:49:14 11.93  37268  27962 35.7629 24.22  23.59   2.304   1.595  7.81   -65.4   1.6   0.4    10.0   92.2   8.58    12.5
2019/12/22 01:55:14 11.95  37805  28384 35.2314 24.57  23.96   2.339   1.618  7.81   -65.3   1.9   0.4    11.4   92.2   8.56    12.4
2019/12/22 02:01:14 11.98  38245  28730 34.8063 24.86  24.27   2.380   1.646  7.82   -65.6   1.5   0.4    10.1   92.2   8.53    12.5
2019/12/22 02:07:14 11.97  38069  28593 34.9739 24.75  24.15   2.427   1.679  7.81   -65.4   1.7   0.4    10.0   92.3   8.55    12.5
2019/12/22 02:13:14 11.98  38408  28856 34.6543 24.97  24.39   2.461   1.702  7.82   -65.9   1.4   0.3    10.0   92.1   8.52    12.3
2019/12/22 02:19:14 11.98  38414  28863 34.6467 24.97  24.39   2.486   1.720  7.82   -65.6   1.7   0.4     9.9   92.2   8.53    12.5
2019/12/22 02:25:14 11.97  38236  28721 34.8175 24.85  24.27   2.527   1.748  7.82   -65.7   1.4   0.3     9.3   92.4   8.55    12.5
2019/12/22 02:31:14 11.98  38443  28884 34.6215 24.99  24.41   2.554   1.766  7.82   -65.7   1.1   0.3     9.6   92.3   8.53    12.5
2019/12/22 02:37:14 12.01  39088  29392 34.0233 25.41  24.86   2.574   1.780  7.82   -65.7   1.1   0.3    10.7   92.3   8.51    12.5
2019/12/22 02:43:14 12.03  39515  29726 33.6410 25.68  25.16   2.608   1.803  7.82   -65.9   1.6   0.4    10.4   92.5   8.51    12.4
2019/12/22 02:49:14 12.07  40329  30369 32.9282 26.21  25.74   2.638   1.823  7.83   -66.2   1.7   0.4    10.3   92.5   8.46    12.5
2019/12/22 02:55:13 12.08  40659  30624 32.6541 26.43  25.97   2.660   1.838  7.83   -66.2   1.9   0.4     8.3   92.5   8.45    12.3
2019/12/22 03:01:14 12.08  40850  30768 32.5012 26.55  26.10   2.693   1.861  7.83   -66.3   1.6   0.4     7.9   92.6   8.45    12.3
2019/12/22 03:07:14 12.10  41238  31079 32.1760 26.81  26.38   2.730   1.886  7.83   -66.3   1.8   0.4     8.1   92.4   8.42    12.5
2019/12/22 03:13:14 12.12  41493  31282 31.9670 26.97  26.56   2.750   1.899  7.83   -66.3   1.6   0.4     8.4   92.4   8.40    12.5
2019/12/22 03:19:14 12.13  41609  31378 31.8695 27.05  26.64   2.799   1.933  7.83   -66.4   0.8   0.2     7.7   92.3   8.39    12.5
2019/12/22 03:25:14 12.16  42239  31879 31.3687 27.46  27.09   2.826   1.951  7.83   -66.7   2.1   0.5     8.5   92.4   8.37    12.4
2019/12/22 03:31:14 12.16  42374  31984 31.2653 27.54  27.19   2.855   1.971  7.84   -66.8   1.4   0.3     7.3   92.6   8.39    12.4
2019/12/22 03:37:14 12.14  41860  31575 31.6709 27.21  26.82   2.896   2.000  7.83   -66.7   1.2   0.3     6.4   92.5   8.40    12.4
2019/12/22 03:43:14 12.16  42263  31901 31.3466 27.47  27.11   2.907   2.007  7.84   -66.8   1.7   0.4     6.9   92.8   8.40    12.5
2019/12/22 03:49:14 12.16  42254  31894 31.3538 27.47  27.10   2.931   2.023  7.84   -66.8   1.9   0.4     7.2   92.8   8.40    12.5
2019/12/22 03:55:13 12.20  42784  32320 30.9403 27.81  27.48   2.960   2.042  7.84   -67.0   0.7   0.2     7.3   92.7   8.37    12.4
2019/12/22 04:01:13 12.23  43351  32773 30.5125 28.18  27.88   2.975   2.053  7.84   -67.1   1.8   0.4     8.1   92.8   8.36    12.4
2019/12/22 04:07:14 12.24  43599  32972 30.3291 28.34  28.06   2.973   2.051  7.85   -67.3   1.7   0.4     7.2   92.8   8.35    12.5
2019/12/22 04:13:14 12.27  44175  33432 29.9118 28.71  28.47   2.980   2.055  7.85   -67.5   0.3   0.1     7.0   92.9   8.33    12.5
2019/12/22 04:19:13 12.19  42914  32415 30.8499 27.89  27.57   2.980   2.057  7.85   -67.3   2.2   0.5     6.3   92.9   8.39    12.5
2019/12/22 04:25:13 12.19  42945  32438 30.8276 27.91  27.59   2.986   2.060  7.84   -66.9   1.3   0.3     6.5   92.8   8.37    12.5
2019/12/22 04:31:14 12.23  43566  32941 30.3569 28.32  28.03   2.983   2.058  7.85   -67.3   1.3   0.3     7.2   92.8   8.35    12.5
2019/12/22 04:37:14 12.27  44239  33484 29.8647 28.76  28.52   2.977   2.053  7.85   -67.4   1.8   0.4     7.7   92.8   8.31    12.5
2019/12/22 04:43:13 12.31  44938  34050 29.3687 29.21  29.02   2.988   2.060  7.85   -67.7   2.5   0.6     6.7   93.0   8.30    12.5
2019/12/22 04:49:14 12.31  44943  34053 29.3662 29.21  29.02   2.990   2.061  7.85   -67.7   1.9   0.4     6.7   92.9   8.28    12.5
2019/12/22 04:55:14 12.31  44870  33992 29.4185 29.17  28.97   2.965   2.044  7.85   -67.7   0.8   0.2     7.3   92.9   8.29    12.5
2019/12/22 05:01:14 12.22  43804  33115 30.1976 28.47  28.20   2.960   2.042  7.85   -67.6   0.8   0.2     6.4   92.6   8.32    12.5
2019/12/22 05:07:14 12.16  42965  32427 30.8387 27.93  27.60   2.953   2.038  7.84   -67.2   1.2   0.3     5.7   92.6   8.36    12.5
2019/12/22 05:13:14 12.14  42666  32184 31.0717 27.73  27.39   2.971   2.051  7.84   -67.1   0.5   0.1     5.3   92.6   8.38    12.4
2019/12/22 05:19:14 12.15  42756  32262 30.9965 27.79  27.46   2.956   2.040  7.84   -67.1   1.8   0.4     5.2   92.6   8.37    12.4
2019/12/22 05:25:13 12.23  43731  33063 30.2457 28.43  28.15   2.977   2.054  7.85   -67.3   2.0   0.5     7.0   92.6   8.32    12.4
2019/12/22 05:31:14 12.23  43747  33079 30.2306 28.44  28.16   2.951   2.035  7.85   -67.4   0.2   0.0     5.6   92.5   8.31    12.5
2019/12/22 05:37:14 12.26  44117  33381 29.9573 28.68  28.43   2.938   2.026  7.85   -67.4   1.6   0.4     5.3   92.5   8.29    12.5
2019/12/22 05:43:14 12.26  44128  33387 29.9520 28.68  28.44   2.915   2.010  7.85   -67.5   2.1   0.5     5.5   92.5   8.29    12.5
2019/12/22 05:49:13 12.24  44032  33305 30.0258 28.62  28.37   2.912   2.008  7.85   -67.5   1.3   0.3     5.5   92.6   8.30    12.4
2019/12/22 05:55:14 12.21  43676  33008 30.2959 28.39  28.11   2.896   1.998  7.85   -67.5   1.0   0.2     4.8   92.6   8.32    12.5
2019/12/22 06:01:14 12.23  43747  33075 30.2341 28.44  28.16   2.869   1.979  7.85   -67.5   0.7   0.2     5.1   92.7   8.33    12.5
2019/12/22 06:07:13 12.26  44185  33432 29.9118 28.72  28.48   2.833   1.954  7.85   -67.5   1.1   0.3     5.1   92.6   8.30    12.5
2019/12/22 06:13:14 12.30  44873  33992 29.4185 29.17  28.97   2.801   1.931  7.85   -67.8   1.9   0.4     5.0   92.7   8.28    12.5
2019/12/22 06:19:14 12.34  45377  34404 29.0661 29.49  29.33   2.763   1.904  7.86   -68.0   0.9   0.2     5.1   92.7   8.25    12.5
2019/12/22 06:25:14 12.32  45200  34257 29.1913 29.38  29.21   2.733   1.884  7.86   -67.9   1.7   0.4     5.4   92.6   8.25    12.3
2019/12/22 06:31:14 12.25  44625  33762 29.6193 29.01  28.79   2.688   1.853  7.86   -67.9   1.3   0.3     6.6   92.6   8.29    12.5
2019/12/22 06:37:13 12.38  46060  34960 28.6041 29.94  29.82   2.644   1.822  7.86   -68.4   1.4   0.3     5.1   93.2   8.26    12.3
2019/12/22 06:43:14 12.39  46160  35044 28.5356 30.00  29.90   2.607   1.796  7.87   -68.5   1.0   0.2     4.8   93.1   8.24    12.5
2019/12/22 06:49:14 12.39  46089  34984 28.5842 29.96  29.85   2.564   1.766  7.86   -68.4   1.8   0.4     4.6   93.1   8.25    12.5
2019/12/22 06:55:14 12.38  46048  34951 28.6113 29.93  29.82   2.520   1.736  7.86   -68.4   1.2   0.3     4.7   92.9   8.23    12.5
2019/12/22 07:01:14 12.38  46046  34950 28.6121 29.93  29.81   2.488   1.714  7.86   -68.4   1.4   0.3     4.9   92.9   8.24    12.5
2019/12/22 07:07:14 12.38  46009  34921 28.6361 29.91  29.79   2.441   1.682  7.86   -68.4   1.5   0.4     4.5   93.0   8.24    12.6
2019/12/22 07:13:13 12.37  45933  34856 28.6891 29.86  29.73   2.410   1.660  7.86   -68.0   1.6   0.4     5.3   92.8   8.23    12.4
2019/12/22 07:19:14 12.35  45739  34691 28.8256 29.73  29.59   2.375   1.636  7.86   -68.1   1.5   0.3     6.1   92.6   8.22    12.5
2019/12/22 07:25:14 12.36  45678  34646 28.8630 29.69  29.55   2.353   1.621  7.86   -68.1   0.8   0.2     6.1   92.4   8.21    12.4
2019/12/22 07:31:14 12.35  45592  34575 28.9225 29.63  29.49   2.314   1.595  7.86   -68.0   1.3   0.3     6.5   92.4   8.21    12.5
2019/12/22 07:37:14 12.35  45588  34574 28.9233 29.63  29.48   2.278   1.570  7.85   -67.7   2.2   0.5     7.9   92.2   8.20    12.5
