============================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
----------------------------------------------------------------------------------------------------------------------------
2019/11/27 22:07:13 12.63  48062  36710 27.2406 31.24  31.28   2.357  7.84   -67.1  -0.3  -0.1    13.9   86.3   7.54    12.4
2019/11/27 22:13:14 12.64  48020  36686 27.2587 31.21  31.25   2.351  7.84   -67.1   0.1   0.0    20.1   86.7   7.57    12.5
2019/11/27 22:19:14 12.65  48004  36679 27.2638 31.20  31.24   2.346  7.85   -67.1   1.1   0.3    25.0   86.7   7.58    12.3
2019/11/27 22:25:14 12.67  47948  36652 27.2834 31.17  31.20   2.339  7.85   -67.1   0.1   0.0    24.0   87.0   7.60    12.4
2019/11/27 22:31:14 12.66  47978  36670 27.2703 31.19  31.22   2.333  7.85   -67.1   0.5   0.1    27.8   86.6   7.56    12.4
2019/11/27 22:37:14 12.67  47942  36653 27.2827 31.16  31.19   2.325  7.84   -67.0   0.5   0.1    25.8   87.2   7.62    12.4
2019/11/27 22:43:13 12.67  47946  36659 27.2783 31.17  31.20   2.315  7.84   -66.8  -0.1   0.0    26.0   87.2   7.62    12.4
2019/11/27 22:49:13 12.70  47480  36323 27.5306 30.86  30.86   2.300  7.84   -67.0  -0.3  -0.1    21.3   88.2   7.71    12.4
2019/11/27 22:55:14 12.67  46848  35819 27.9179 30.45  30.40   2.287  7.84   -66.9   1.7   0.4    19.8   88.8   7.79    12.5
2019/11/27 23:01:14 12.64  46706  35678 28.0287 30.36  30.30   2.272  7.84   -66.9   0.7   0.2    17.7   88.8   7.80    12.4
2019/11/27 23:07:14 12.62  46647  35620 28.0740 30.32  30.26   2.255  7.84   -66.8   0.6   0.1    19.6   89.1   7.84    12.5
2019/11/27 23:13:14 12.61  46415  35432 28.2234 30.17  30.09   2.234  7.84   -66.9   0.1   0.0    17.5   89.4   7.87    12.4
2019/11/27 23:19:14 12.60  46148  35220 28.3932 30.00  29.90   2.213  7.84   -66.8  -0.5  -0.1    14.5   89.7   7.91    12.4
2019/11/27 23:25:14 12.62  46127  35218 28.3948 29.98  29.88   2.190  7.84   -66.7   0.1   0.0    14.1   89.8   7.91    12.3
2019/11/27 23:31:14 12.61  45966  35091 28.4975 29.88  29.77   2.165  7.84   -66.7  -0.3  -0.1    14.6   89.7   7.92    12.6
2019/11/27 23:37:14 12.63  45905  35063 28.5205 29.84  29.72   2.135  7.83   -66.5  -0.8  -0.2    14.1   89.8   7.93    12.4
2019/11/27 23:43:14 12.64  45847  35020 28.5555 29.80  29.68   2.108  7.83   -66.3   0.6   0.1    14.1   90.0   7.94    12.4
2019/11/27 23:49:14 12.64  45852  35027 28.5491 29.80  29.69   2.081  7.83   -66.4   0.6   0.1    14.1   89.9   7.93    12.4
2019/11/27 23:55:14 12.66  45908  35084 28.5030 29.84  29.73   2.055  7.83   -66.3  -0.7  -0.2    14.5   89.7   7.91    12.4
2019/11/28 00:01:14 12.66  45863  35053 28.5284 29.81  29.69   2.024  7.83   -66.3   0.7   0.2    14.2   89.8   7.92    12.3
2019/11/28 00:07:14 12.66  45835  35035 28.5428 29.79  29.67   1.994  7.83   -66.2   0.4   0.1    16.4   89.9   7.93    12.4
2019/11/28 00:13:14 12.67  45744  34970 28.5962 29.73  29.61   1.963  7.83   -66.0   0.3   0.1    17.0   89.8   7.93    12.4
2019/11/28 00:19:14 12.67  45751  34974 28.5930 29.74  29.61   1.930  7.83   -66.0  -0.3  -0.1    19.5   89.7   7.91    12.5
2019/11/28 00:25:14 12.66  45630  34878 28.6714 29.66  29.53   1.900  7.83   -66.0   0.4   0.1    20.2   89.6   7.91    12.3
2019/11/28 00:31:14 12.66  45596  34848 28.6963 29.64  29.50   1.870  7.83   -66.0   0.0   0.0    20.1   89.6   7.91    12.5
2019/11/28 00:37:14 12.65  45530  34793 28.7414 29.59  29.46   1.843  7.82   -65.8   0.1   0.0    18.9   89.3   7.89    12.4
2019/11/28 00:43:14 12.65  45504  34768 28.7624 29.58  29.44   1.815  7.82   -65.9   0.2   0.1    20.2   89.3   7.89    12.4
2019/11/28 00:49:14 12.64  45383  34669 28.8443 29.50  29.35   1.786  7.82   -65.9   0.2   0.0    20.9   89.4   7.90    12.5
2019/11/28 00:55:14 12.63  45329  34623 28.8825 29.46  29.31   1.759  7.82   -65.8   1.3   0.3    19.9   89.3   7.90    12.3
2019/11/28 01:01:14 12.62  45136  34464 29.0159 29.34  29.17   1.731  7.82   -65.8   0.6   0.1    18.6   89.6   7.93    12.5
2019/11/28 01:07:14 12.62  45025  34380 29.0868 29.27  29.09   1.702  7.82   -65.8   0.8   0.2    19.1   89.6   7.94    12.4
2019/11/28 01:13:14 12.62  44928  34304 29.1514 29.20  29.02   1.676  7.82   -65.6  -0.3  -0.1    17.8   89.7   7.95    12.4
2019/11/28 01:19:14 12.62  44778  34193 29.2454 29.11  28.91   1.649  7.82   -65.4   0.8   0.2    20.0   89.7   7.96    12.5
2019/11/28 01:25:14 12.62  44690  34126 29.3032 29.05  28.85   1.622  7.82   -65.6   0.7   0.2    20.3   89.8   7.97    12.5
2019/11/28 01:31:14 12.64  44852  34265 29.1846 29.15  28.97   1.595  7.82   -65.6   0.9   0.2    23.8   89.6   7.94    12.5
2019/11/28 01:37:14 12.66  45072  34449 29.0282 29.30  29.13   1.571  7.81   -65.3   1.0   0.2    25.6   89.2   7.89    12.4
2019/11/28 01:43:14 12.68  45245  34595 28.9061 29.41  29.25   1.547  7.82   -65.5   1.0   0.2    29.4   89.0   7.86    12.4
2019/11/28 01:49:14 12.71  45548  34856 28.6891 29.61  29.47   1.526  7.82   -65.4   0.9   0.2    37.2   88.7   7.82    12.3
2019/11/28 01:55:14 12.69  45427  34748 28.7786 29.53  29.38   1.506  7.82   -65.5   1.2   0.3    34.4   88.7   7.83    12.5
2019/11/28 02:01:13 12.68  45321  34660 28.8516 29.46  29.31   1.487  7.82   -65.6   1.1   0.3    35.0   88.7   7.83    12.5
2019/11/28 02:07:14 12.66  45187  34538 28.9535 29.37  29.21   1.468  7.82   -65.5   1.2   0.3    34.7   88.9   7.87    12.4
2019/11/28 02:13:14 12.66  45176  34526 28.9634 29.36  29.20   1.450  7.81   -65.2   1.4   0.3    33.1   88.9   7.86    12.3
2019/11/28 02:19:14 12.61  44909  34281 29.1705 29.19  29.01   1.434  7.82   -65.6   1.3   0.3    32.1   89.0   7.89    12.4
2019/11/28 02:25:14 12.58  44781  34161 29.2730 29.11  28.92   1.419  7.82   -65.5   0.3   0.1    29.2   89.0   7.90    12.4
2019/11/28 02:31:14 12.58  44713  34104 29.3216 29.06  28.87   1.404  7.82   -65.4   1.6   0.4    25.7   89.1   7.91    12.4
2019/11/28 02:37:14 12.57  44591  34001 29.4109 28.98  28.78   1.390  7.82   -65.5   0.2   0.1    27.5   89.0   7.91    12.4
2019/11/28 02:43:14 12.58  44574  34002 29.4101 28.97  28.77   1.379  7.82   -65.4   1.6   0.4    27.5   89.2   7.93    12.4
2019/11/28 02:49:14 12.57  44547  33972 29.4363 28.96  28.75   1.369  7.82   -65.6   0.8   0.2    28.5   89.2   7.93    12.5
2019/11/28 02:55:14 12.54  44358  33802 29.5843 28.83  28.61   1.361  7.82   -65.6   0.9   0.2    23.6   89.4   7.95    12.7
2019/11/28 03:01:14 12.50  44166  33625 29.7398 28.71  28.47   1.352  7.82   -65.5  -0.8  -0.2    22.5   89.7   8.00    12.4
2019/11/28 03:07:14 12.48  43945  33436 29.9083 28.56  28.31   1.345  7.82   -65.4  -0.2   0.0    19.4   89.7   8.01    12.5
2019/11/28 03:13:14 12.46  43899  33385 29.9538 28.53  28.28   1.337  7.82   -65.4   0.6   0.1    18.3   89.6   8.00    12.4
2019/11/28 03:19:14 12.66  43174  32999 30.3039 28.06  27.77   1.325  7.81   -65.2   0.3   0.1    19.8   89.8   8.01    12.4
2019/11/28 03:25:14 12.64  43068  32901 30.3939 27.99  27.70   1.319  7.81   -65.2   0.1   0.0    21.6   89.8   8.02    12.4
2019/11/28 03:31:14 12.73  42441  32497 30.7720 27.59  27.25   1.314  7.81   -65.0   0.2   0.0    23.7   89.7   8.02    12.4
2019/11/28 03:37:14 12.73  42272  32361 30.9011 27.48  27.13   1.312  7.81   -65.0   0.5   0.1    23.5   89.7   8.02    12.4
2019/11/28 03:43:14 12.71  42153  32262 30.9965 27.40  27.05   1.310  7.81   -65.0   1.1   0.2    23.9   89.7   8.04    12.4
2019/11/28 03:49:14 12.71  41995  32139 31.1152 27.30  26.94   1.310  7.80   -64.6   0.0   0.0    22.8   89.7   8.04    12.5
2019/11/28 03:55:14 12.70  41907  32058 31.1938 27.24  26.87   1.312  7.81   -64.9   0.1   0.0    23.0   89.7   8.05    12.4
2019/11/28 04:01:14 12.69  41883  32032 31.2186 27.22  26.86   1.314  7.80   -64.6  -0.2  -0.1    22.8   89.7   8.05    12.3
2019/11/28 04:07:14 12.69  41882  32033 31.2176 27.22  26.85   1.315  7.81   -64.9   0.1   0.0    23.0   89.7   8.05    12.5
2019/11/28 04:13:14 12.68  41786  31954 31.2949 27.16  26.79   1.318  7.80   -64.8   0.1   0.0    21.7   89.6   8.04    12.4
2019/11/28 04:19:14 12.69  41768  31944 31.3045 27.15  26.77   1.321  7.80   -64.8  -0.5  -0.1    21.5   89.4   8.03    12.5
2019/11/28 04:25:14 12.68  41779  31945 31.3040 27.16  26.78   1.325  7.80   -64.7  -0.5  -0.1    20.2   89.0   7.99    12.4
2019/11/28 04:31:14 12.69  41727  31914 31.3341 27.12  26.74   1.328  7.80   -64.8  -0.2  -0.1    22.7   89.6   8.04    12.3
2019/11/28 04:37:14 12.69  41717  31905 31.3433 27.12  26.74   1.334  7.80   -64.4  -1.1  -0.2    21.9   89.3   8.02    12.4
2019/11/28 04:43:14 12.68  41692  31880 31.3677 27.10  26.72   1.340  7.80   -64.7  -0.2   0.0    20.8   89.1   8.01    12.5
2019/11/28 04:49:14 12.67  41684  31871 31.3769 27.09  26.71   1.348  7.80   -64.8  -0.1   0.0    23.6   89.5   8.04    12.5
2019/11/28 04:55:14 12.65  41678  31850 31.3976 27.09  26.71   1.358  7.80   -64.3  -1.1  -0.2    17.2   89.1   8.01    12.4
2019/11/28 05:01:14 12.66  41674  31855 31.3923 27.09  26.71   1.366  7.80   -64.6   0.3   0.1    17.6   88.9   7.98    12.3
2019/11/28 05:07:14 12.65  41668  31843 31.4038 27.08  26.70   1.375  7.81   -65.3   0.0   0.0    18.2   89.7   8.06    12.4
2019/11/28 05:13:14 12.67  41683  31864 31.3836 27.09  26.71   1.382  7.80   -64.5  -0.2  -0.1    18.7   89.6   8.05    12.5
2019/11/28 05:19:14 12.67  41607  31810 31.4371 27.04  26.66   1.390  7.80   -64.6   0.2   0.0    17.0   89.7   8.06    12.5
2019/11/28 05:25:14 12.67  41633  31832 31.4154 27.06  26.68   1.400  7.80   -64.7   0.8   0.2    15.7   89.2   8.01    12.5
2019/11/28 05:31:14 12.67  41666  31854 31.3937 27.08  26.70   1.410  7.80   -64.7  -0.3  -0.1    15.4   89.1   8.00    12.5
2019/11/28 05:37:14 12.67  41683  31864 31.3831 27.09  26.71   1.420  7.80   -64.6  -0.1   0.0    17.0   89.1   8.01    12.3
2019/11/28 05:43:14 12.66  41702  31873 31.3745 27.11  26.73   1.429  7.80   -64.4  -1.0  -0.2    16.3   89.1   8.01    12.5
2019/11/28 05:49:14 12.66  41720  31883 31.3644 27.12  26.74   1.438  7.80   -64.7  -0.3  -0.1    15.1   89.0   8.00    12.5
2019/11/28 05:55:14 12.67  41767  31930 31.3183 27.15  26.77   1.448  7.80   -64.8  -0.3  -0.1    17.5   89.3   8.02    12.4
2019/11/28 06:01:14 12.67  41772  31938 31.3112 27.15  26.78   1.459  7.80   -64.6   0.8   0.2    15.0   89.3   8.01    12.5
2019/11/28 06:07:14 12.65  41806  31948 31.3011 27.17  26.80   1.469  7.80   -64.6  -0.1   0.0    13.2   89.0   7.99    12.5
2019/11/28 06:13:14 12.65  41828  31958 31.2906 27.19  26.81   1.480  7.80   -64.6   0.4   0.1    12.3   88.5   7.94    12.4
2019/11/28 06:19:14 12.74  44254  33890 29.5075 28.77  28.54   1.484  7.81   -65.3   0.4   0.1    19.9   87.8   7.79    12.5
2019/11/28 06:25:14 12.71  44993  34432 29.0431 29.25  29.07   1.493  7.82   -65.7   0.4   0.1    12.7   87.6   7.75    12.6
2019/11/28 06:31:14 12.67  45766  34986 28.5826 29.75  29.62   1.503  7.83   -66.0   1.0   0.2    12.6   86.2   7.61    12.5
2019/11/28 06:37:14 12.67  45705  34939 28.6209 29.71  29.58   1.513  7.82   -65.9   0.8   0.2     9.5   86.2   7.61    12.5
2019/11/28 06:43:13 12.66  44600  34086 29.3376 28.99  28.79   1.524  7.82   -65.8   0.2   0.0    14.0   88.0   7.81    12.4
2019/11/28 06:49:14 12.67  44372  33925 29.4770 28.84  28.63   1.534  7.82   -65.5   1.0   0.2    11.2   87.2   7.74    12.5
2019/11/28 06:55:14 12.67  45151  34520 28.9691 29.35  29.18   1.542  7.82   -65.9  -0.3  -0.1     9.9   86.4   7.64    12.5
2019/11/28 07:01:14 12.67  45377  34693 28.8240 29.50  29.35   1.551  7.82   -65.9  -0.1   0.0     9.7   87.0   7.69    12.5
2019/11/28 07:07:14 12.66  45526  34800 28.7358 29.59  29.45   1.561  7.83   -66.0  -0.4  -0.1    12.6   87.2   7.70    12.4
2019/11/28 07:13:14 12.66  45562  34827 28.7132 29.62  29.48   1.569  7.83   -66.1   1.5   0.3    13.2   87.3   7.71    12.5
2019/11/28 07:19:13 12.66  45703  34931 28.6281 29.71  29.58   1.577  7.83   -66.2  -0.2   0.0    12.5   88.2   7.78    12.4
2019/11/28 07:25:14 12.66  45661  34897 28.6554 29.68  29.55   1.586  7.83   -66.3   1.4   0.3    11.7   88.0   7.77    12.5
2019/11/28 07:31:14 12.65  46086  35216 28.3963 29.96  29.85   1.595  7.83   -66.3   0.3   0.1    13.8   87.8   7.73    12.4
2019/11/28 07:37:14 12.65  46378  35442 28.2148 30.15  30.06   1.603  7.83   -66.4  -0.5  -0.1    15.3   87.8   7.73    12.4
2019/11/28 07:43:14 12.66  46517  35550 28.1295 30.24  30.16   1.614  7.83   -66.4   0.7   0.2    16.2   87.5   7.69    12.4
2019/11/28 07:49:14 12.65  45504  34771 28.7600 29.58  29.44   1.624  7.83   -66.3   0.3   0.1    12.1   88.2   7.80    12.4
2019/11/28 07:55:14 12.66  45609  34856 28.6891 29.65  29.51   1.635  7.83   -66.3  -0.2   0.0    11.4   88.3   7.79    12.5
2019/11/28 08:01:14 12.65  45483  34752 28.7754 29.56  29.42   1.645  7.83   -66.2   0.2   0.0     9.5   88.1   7.79    12.4
2019/11/28 08:07:14 12.65  45661  34892 28.6602 29.68  29.55   1.656  7.83   -66.3  -0.2   0.0    10.3   87.8   7.76    12.4
2019/11/28 08:13:14 12.66  46072  35210 28.4011 29.95  29.84   1.666  7.83   -66.4   0.0   0.0    11.1   87.5   7.71    12.4
2019/11/28 08:19:14 12.66  46502  35538 28.1388 30.23  30.15   1.676  7.84   -66.7  -0.1   0.0    11.1   87.3   7.68    12.5
2019/11/28 08:25:14 12.66  46625  35635 28.0625 30.31  30.24   1.685  7.84   -66.7   1.1   0.3    15.3   87.4   7.68    12.4
2019/11/28 08:31:14 12.66  46548  35578 28.1072 30.26  30.19   1.696  7.84   -66.7   0.6   0.1    13.1   87.4   7.68    12.4
2019/11/28 08:37:14 12.66  46680  35682 28.0256 30.34  30.28   1.706  7.84   -66.7   0.2   0.1    13.1   87.5   7.69    12.4
2019/11/28 08:43:14 12.66  46872  35827 27.9118 30.47  30.42   1.717  7.84   -66.8   0.0   0.0    17.2   87.4   7.67    12.5
2019/11/28 08:49:14 12.66  47029  35941 27.8231 30.57  30.53   1.728  7.84   -66.8   0.7   0.2    16.1   87.3   7.66    12.4
2019/11/28 08:55:14 12.65  47016  35923 27.8374 30.56  30.52   1.738  7.84   -66.7   0.6   0.1    13.9   87.7   7.69    12.5
2019/11/28 09:01:14 12.64  47161  36023 27.7597 30.65  30.63   1.748  7.84   -66.9   0.8   0.2    14.4   87.6   7.68    12.4
2019/11/28 09:07:14 12.62  47271  36097 27.7034 30.73  30.71   1.758  7.85   -67.1   0.0   0.0    16.1   87.4   7.67    12.5
2019/11/28 09:13:14 12.62  47355  36155 27.6585 30.78  30.77   1.768  7.84   -67.0   0.0   0.0    15.4   87.4   7.67    12.4
2019/11/28 09:19:14 12.61  47031  35901 27.8541 30.57  30.53   1.778  7.84   -67.1   0.1   0.0     9.0   87.8   7.71    12.4
2019/11/28 09:25:14 12.60  46815  35725 27.9919 30.43  30.38   1.788  7.84   -67.0   0.3   0.1     7.5   88.1   7.74    12.5
2019/11/28 09:31:14 12.62  46826  35756 27.9674 30.44  30.39   1.797  7.84   -67.0   0.7   0.2     8.5   88.0   7.73    12.3
2019/11/28 09:37:14 12.62  46931  35837 27.9042 30.51  30.46   1.806  7.84   -66.8  -0.4  -0.1     8.7   87.6   7.69    12.5
2019/11/28 09:43:14 12.62  47001  35886 27.8662 30.55  30.51   1.815  7.84   -67.0   0.8   0.2     8.1   87.2   7.66    12.5
2019/11/28 09:49:14 12.60  47208  36030 27.7544 30.69  30.66   1.824  7.84   -67.0   0.6   0.1     9.3   87.3   7.66    12.4
2019/11/28 09:55:14 12.59  47421  36180 27.6398 30.82  30.81   1.832  7.85   -67.1   1.0   0.2    10.4   87.3   7.66    12.5
2019/11/28 10:01:14 12.57  47550  36264 27.5758 30.91  30.91   1.839  7.85   -67.2  -0.3  -0.1    10.1   87.4   7.66    12.5
2019/11/28 10:07:14 12.56  47698  36363 27.5003 31.00  31.01   1.847  7.85   -67.3   0.0   0.0     9.1   87.3   7.66    12.5
2019/11/28 10:13:14 12.55  47753  36399 27.4730 31.04  31.05   1.853  7.85   -67.1   1.0   0.2     8.0   87.2   7.64    12.5
2019/11/28 10:19:14 12.54  47848  36462 27.4259 31.10  31.12   1.860  7.85   -67.3   0.0   0.0     9.1   87.2   7.64    12.5
2019/11/28 10:25:14 12.53  47949  36531 27.3738 31.17  31.19   1.866  7.85   -67.5   0.0   0.0     6.7   87.3   7.65    12.4
2019/11/28 10:31:14 12.53  47913  36506 27.3929 31.14  31.17   1.871  7.85   -67.2   0.2   0.1     7.6   87.0   7.63    12.4
2019/11/28 10:37:14 12.53  47988  36558 27.3541 31.19  31.22   1.875  7.85   -67.4   0.3   0.1     6.4   87.2   7.64    12.4
2019/11/28 10:43:14 12.53  48008  36570 27.3446 31.21  31.23   1.879  7.85   -67.5   0.9   0.2     6.9   87.1   7.63    12.5
2019/11/28 10:49:14 12.54  47958  36541 27.3665 31.17  31.20   1.883  7.85   -67.3   0.1   0.0     6.5   87.1   7.63    12.5
2019/11/28 10:55:14 12.53  47999  36566 27.3475 31.20  31.23   1.887  7.85   -67.4   0.9   0.2     6.4   87.1   7.63    12.5
2019/11/28 11:01:14 12.53  47967  36547 27.3621 31.18  31.21   1.890  7.85   -67.4  -0.6  -0.1     7.0   87.1   7.63    12.5
2019/11/28 11:07:14 12.53  48036  36591 27.3293 31.22  31.26   1.894  7.85   -67.5  -0.2   0.0     6.4   87.0   7.62    12.5
2019/11/28 11:13:14 12.52  48058  36604 27.3198 31.24  31.27   1.896  7.85   -67.4   0.0   0.0     6.8   87.2   7.64    12.4
2019/11/28 11:19:14 12.52  48047  36596 27.3256 31.23  31.26   1.898  7.85   -67.3   0.3   0.1     5.3   87.1   7.63    12.4
2019/11/28 11:25:14 12.52  48039  36588 27.3314 31.23  31.26   1.901  7.85   -67.6  -0.3  -0.1     6.8   87.2   7.64    12.5
2019/11/28 11:31:14 12.52  48009  36564 27.3490 31.21  31.24   1.902  7.85   -67.4  -0.5  -0.1     6.3   87.3   7.64    12.5
2019/11/28 11:37:14 12.52  48033  36586 27.3329 31.22  31.25   1.903  7.85   -67.4  -0.2  -0.1     6.1   87.2   7.64    12.4
2019/11/28 11:43:14 12.53  47986  36554 27.3570 31.19  31.22   1.905  7.85   -67.4  -0.2  -0.1     6.2   87.3   7.64    12.4
2019/11/28 11:49:14 12.54  47900  36499 27.3980 31.13  31.16   1.906  7.85   -67.3   0.0   0.0     6.7   86.8   7.61    12.4
2019/11/28 11:55:14 12.56  47809  36445 27.4384 31.08  31.09   1.906  7.85   -67.2   0.2   0.0     7.5   86.8   7.61    12.4
2019/11/28 12:01:14 12.57  47768  36423 27.4553 31.05  31.06   1.905  7.85   -67.2  -0.7  -0.1     9.4   86.8   7.60    12.4
2019/11/28 12:07:14 12.57  47691  36367 27.4973 31.00  31.01   1.904  7.84   -67.1   0.3   0.1    10.0   86.5   7.58    12.4
2019/11/28 12:13:14 12.57  47693  36367 27.4973 31.00  31.01   1.904  7.84   -67.0  -0.2   0.0    12.1   86.3   7.56    12.5
2019/11/28 12:19:14 12.56  47815  36454 27.4318 31.08  31.10   1.904  7.85   -67.1   0.3   0.1    14.7   86.5   7.57    12.4
2019/11/28 12:25:14 12.58  47687  36372 27.4936 31.00  31.01   1.903  7.84   -67.0   1.1   0.3    17.0   86.5   7.58    12.4
2019/11/28 12:31:14 12.59  47611  36323 27.5306 30.95  30.95   1.902  7.84   -67.0   0.0   0.0    17.0   86.5   7.58    12.4
2019/11/28 12:37:14 12.59  47570  36297 27.5506 30.92  30.92   1.901  7.84   -66.8   0.2   0.0    19.7   86.5   7.58    12.6
2019/11/28 12:43:14 12.61  47359  36148 27.6637 30.78  30.77   1.899  7.84   -66.9   0.4   0.1    20.2   86.6   7.60    12.4
2019/11/28 12:49:14 12.61  47410  36188 27.6331 30.82  30.81   1.897  7.84   -66.9   1.0   0.2    20.8   86.7   7.60    12.4
2019/11/28 12:55:14 12.62  47292  36107 27.6951 30.74  30.72   1.895  7.84   -66.8   1.3   0.3    18.2   86.6   7.60    12.4
2019/11/28 13:01:14 12.62  47194  36036 27.7499 30.68  30.65   1.894  7.84   -66.7  -0.3  -0.1    19.0   86.6   7.60    12.3
2019/11/28 13:07:14 12.63  47191  36038 27.7484 30.67  30.65   1.891  7.84   -66.7   0.5   0.1    17.1   86.6   7.59    12.3
2019/11/28 13:13:14 12.61  47149  35995 27.7815 30.65  30.62   1.890  7.84   -66.7   0.9   0.2    15.5   86.7   7.61    12.5
2019/11/28 13:19:14 12.61  47005  35882 27.8693 30.55  30.51   1.888  7.84   -66.6  -0.1   0.0    15.1   86.6   7.61    12.5
2019/11/28 13:25:14 12.58  47007  35857 27.8882 30.55  30.51   1.887  7.84   -66.6  -0.3  -0.1    14.8   86.6   7.61    12.5
2019/11/28 13:31:14 12.60  47041  35900 27.8548 30.58  30.54   1.884  7.84   -66.7   1.6   0.4    15.8   86.6   7.60    12.5
2019/11/28 13:37:14 12.59  46908  35790 27.9407 30.49  30.44   1.882  7.83   -66.5   0.2   0.0    14.2   86.3   7.58    12.4
2019/11/28 13:43:14 12.60  46900  35788 27.9423 30.49  30.44   1.881  7.83   -66.5   1.0   0.2    15.3   86.3   7.58    12.5
2019/11/28 13:49:14 12.44  46219  35134 28.4626 30.04  29.94   1.881  7.83   -66.3   0.4   0.1    15.8   86.2   7.62    12.4
2019/11/28 13:55:14 12.53  46314  35282 28.3429 30.10  30.01   1.880  7.83   -66.3   0.3   0.1    16.2   86.2   7.61    12.4
2019/11/28 14:01:14 12.23  44561  33691 29.6812 28.96  28.75   1.887  7.83   -66.0  -0.3  -0.1    12.8   87.5   7.84    12.4
2019/11/28 14:07:14 12.25  44810  33896 29.5024 29.13  28.92   1.884  7.82   -65.9   0.0   0.0    14.5   87.7   7.84    12.5
2019/11/28 14:13:14 12.16  44469  33563 29.7943 28.90  28.68   1.881  7.82   -65.7   1.4   0.3    14.2   87.6   7.85    12.4
2019/11/28 14:19:14 12.20  44502  33619 29.7450 28.93  28.70   1.877  7.82   -65.5   0.7   0.2    15.9   87.6   7.85    12.4
2019/11/28 14:25:14 12.27  44645  33788 29.5962 29.02  28.81   1.873  7.82   -65.7  -0.3  -0.1    14.5   87.5   7.83    12.4
2019/11/28 14:31:14 12.26  44502  33673 29.6975 28.93  28.70   1.871  7.82   -65.5   0.4   0.1    15.3   87.6   7.84    12.5
2019/11/28 14:37:14 12.24  44492  33648 29.7191 28.92  28.70   1.869  7.82   -65.7   0.5   0.1    14.4   87.3   7.82    12.5
2019/11/28 14:43:14 12.23  44432  33598 29.7640 28.88  28.65   1.870  7.82   -65.6   0.0   0.0    12.8   87.4   7.82    12.4
2019/11/28 14:49:14 12.23  44472  33626 29.7389 28.91  28.68   1.869  7.82   -65.7   0.2   0.0    13.5   87.3   7.82    12.5
2019/11/28 14:55:14 12.27  44465  33657 29.7113 28.90  28.68   1.868  7.82   -65.7  -0.3  -0.1    12.8   87.6   7.84    12.4
2019/11/28 15:01:14 12.26  44456  33643 29.7242 28.90  28.67   1.870  7.82   -65.6  -0.2  -0.1    14.0   87.3   7.82    12.3
2019/11/28 15:07:14 12.30  44495  33702 29.6717 28.92  28.70   1.872  7.82   -65.6   0.4   0.1    10.6   87.2   7.80    12.4
2019/11/28 15:13:14 12.30  44466  33679 29.6923 28.90  28.68   1.873  7.82   -65.7  -0.4  -0.1    10.1   87.3   7.81    12.4
2019/11/28 15:19:14 12.29  44507  33705 29.6691 28.93  28.71   1.877  7.82   -65.6  -1.2  -0.3    10.3   87.2   7.80    12.4
2019/11/28 15:25:14 12.26  44453  33635 29.7311 28.89  28.67   1.881  7.82   -65.4   0.0   0.0    10.6   87.2   7.81    12.4
2019/11/28 15:31:14 12.28  44472  33668 29.7018 28.91  28.68   1.884  7.81   -65.2  -0.6  -0.1     9.2   87.2   7.80    12.4
2019/11/28 15:37:14 12.26  44451  33634 29.7320 28.89  28.67   1.888  7.82   -65.6   0.6   0.1     9.4   87.2   7.81    12.5
2019/11/28 15:43:14 12.22  44408  33570 29.7882 28.87  28.64   1.892  7.82   -65.4  -0.9  -0.2     8.9   87.0   7.80    12.4
2019/11/28 15:49:14 12.19  44206  33393 29.9468 28.73  28.49   1.896  7.82   -65.6   0.3   0.1     8.5   87.5   7.85    12.5
2019/11/28 15:55:14 12.19  44139  33337 29.9968 28.69  28.44   1.899  7.82   -65.5  -1.2  -0.3     7.6   87.3   7.84    12.3
2019/11/28 16:01:14 12.20  44085  33310 30.0214 28.65  28.40   1.902  7.82   -65.4  -0.1   0.0     8.1   87.1   7.82    12.5
2019/11/28 16:07:14 12.21  44126  33348 29.9871 28.68  28.43   1.906  7.81   -65.2   0.4   0.1     8.1   87.6   7.86    12.5
2019/11/28 16:13:13 12.22  44189  33401 29.9389 28.72  28.48   1.909  7.82   -65.4  -1.0  -0.2     9.8   87.7   7.87    12.4
2019/11/28 16:19:14 12.24  44103  33352 29.9836 28.67  28.42   1.914  7.82   -65.6  -0.6  -0.1     8.4   87.7   7.87    12.4
2019/11/28 16:25:14 12.23  44152  33386 29.9529 28.70  28.45   1.918  7.82   -65.6  -1.3  -0.3     8.6   87.7   7.86    12.4
2019/11/28 16:31:14 12.22  44291  33481 29.8673 28.79  28.55   1.923  7.82   -65.6   0.0   0.0    11.0   87.7   7.86    12.4
2019/11/28 16:37:14 12.22  44255  33451 29.8943 28.77  28.53   1.929  7.82   -65.6   0.2   0.0     8.7   87.8   7.87    12.4
2019/11/28 16:43:14 12.22  44253  33447 29.8978 28.76  28.53   1.934  7.82   -65.5  -0.2   0.0     9.2   87.7   7.87    12.4
