"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Chl","Chl","Turbid+","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","g/L","ppt","psia","meters","","mV","ug/L","RFU","NTU","%","mg/L","volts"
"2020/01/17","22:55:28",10.31,18097,13019,76.8120,11.76,10.71,16.854,1.344,7.56,-72.3,2.62,0.54,43.2,80.2,8.39,14.3
"2020/01/17","23:01:28",10.29,18285,13149,76.0518,11.88,10.83,16.895,1.373,7.57,-72.5,2.22,0.46,43.2,79.8,8.35,14.2
"2020/01/17","23:07:28",10.28,18513,13309,75.1394,12.03,10.97,16.930,1.397,7.59,-73.9,2.46,0.51,40.7,80.6,8.42,14.3
"2020/01/17","23:13:28",10.26,18903,13582,73.6266,12.28,11.23,16.972,1.426,7.62,-75.8,2.73,0.57,39.7,82.6,8.63,14.3
"2020/01/17","23:19:28",10.12,19513,13966,71.6046,12.68,11.62,17.010,1.453,7.76,-83.6,2.44,0.51,23.6,89.4,9.34,14.3
"2020/01/17","23:25:28",10.03,19616,14006,71.3986,12.75,11.68,17.049,1.480,7.77,-84.0,2.43,0.50,23.4,90.9,9.52,14.3
"2020/01/17","23:31:28",10.04,19539,13956,71.6534,12.70,11.63,17.087,1.506,7.76,-83.2,2.10,0.43,24.1,90.4,9.46,14.3
"2020/01/17","23:37:28",10.04,19551,13964,71.6134,12.70,11.64,17.133,1.538,7.77,-83.9,1.86,0.38,22.8,90.2,9.44,14.2
"2020/01/17","23:43:28",10.03,19561,13970,71.5821,12.71,11.65,17.180,1.571,7.77,-84.0,2.32,0.48,20.7,90.1,9.44,14.4
"2020/01/17","23:49:28",10.03,19564,13970,71.5808,12.71,11.65,17.222,1.600,7.77,-84.1,2.27,0.47,19.1,90.0,9.42,14.3
"2020/01/17","23:55:28",10.03,19563,13970,71.5796,12.71,11.65,17.263,1.629,7.77,-84.0,1.90,0.40,20.2,90.0,9.42,14.2
"2020/01/18","00:01:28",10.03,19566,13970,71.5796,12.71,11.65,17.303,1.657,7.77,-84.0,2.79,0.58,18.8,89.9,9.41,14.2
"2020/01/18","00:07:28",10.03,19566,13972,71.5708,12.71,11.65,17.342,1.684,7.77,-84.1,2.45,0.51,18.1,89.8,9.40,14.2
"2020/01/18","00:13:28",10.03,19569,13972,71.5733,12.72,11.65,17.376,1.708,7.78,-84.4,2.20,0.46,17.5,89.8,9.40,14.3
"2020/01/18","00:19:28",10.02,19566,13966,71.6008,12.71,11.65,17.408,1.730,7.78,-84.4,2.10,0.44,18.1,89.6,9.39,14.3
"2020/01/18","00:25:28",10.01,19573,13970,71.5796,12.72,11.65,17.442,1.754,7.78,-84.2,1.93,0.40,17.4,89.3,9.35,14.2
"2020/01/18","00:31:28",10.01,19579,13975,71.5583,12.72,11.66,17.485,1.784,7.78,-84.2,2.50,0.52,16.0,89.2,9.34,14.2
"2020/01/18","00:37:27",10.01,19593,13984,71.5121,12.73,11.67,17.525,1.812,7.77,-83.7,1.71,0.36,16.4,89.1,9.34,14.3
"2020/01/18","00:43:28",10.01,19592,13984,71.5108,12.73,11.67,17.565,1.840,7.78,-84.6,1.84,0.38,13.9,89.0,9.32,14.3
"2020/01/18","00:49:28",10.01,19600,13990,71.4821,12.74,11.67,17.598,1.863,7.77,-83.7,1.59,0.33,14.8,88.8,9.30,14.4
"2020/01/18","00:55:28",10.02,19604,13993,71.4647,12.74,11.67,17.631,1.886,7.78,-84.3,2.12,0.44,13.0,88.7,9.29,14.3
"2020/01/18","01:01:28",10.02,19605,13995,71.4522,12.74,11.67,17.661,1.907,7.78,-84.4,1.62,0.34,13.4,88.7,9.29,14.3
"2020/01/18","01:07:28",10.02,19606,13998,71.4397,12.74,11.67,17.692,1.928,7.77,-83.7,2.43,0.50,12.9,88.4,9.26,14.2
"2020/01/18","01:13:28",10.03,19623,14011,71.3725,12.75,11.69,17.716,1.945,7.78,-84.5,2.12,0.44,12.5,88.3,9.25,14.2
"2020/01/18","01:19:28",10.03,19653,14034,71.2533,12.77,11.70,17.740,1.962,7.78,-84.7,1.71,0.35,16.2,88.3,9.25,14.2
"2020/01/18","01:25:28",10.04,19658,14040,71.2248,12.77,11.71,17.773,1.985,7.78,-84.6,1.39,0.29,15.9,88.3,9.24,14.2
"2020/01/18","01:31:28",10.04,19664,14045,71.1976,12.78,11.71,17.803,2.006,7.77,-84.0,1.58,0.33,13.7,88.2,9.23,14.2
"2020/01/18","01:37:28",10.04,19667,14048,71.1852,12.78,11.71,17.826,2.022,7.78,-84.5,1.64,0.34,13.6,87.8,9.19,14.2
"2020/01/18","01:43:28",10.04,19676,14055,71.1481,12.79,11.72,17.851,2.039,7.77,-83.9,1.76,0.37,13.3,87.6,9.16,14.1
"2020/01/18","01:49:27",10.04,19695,14069,71.0790,12.80,11.73,17.871,2.054,7.78,-84.5,1.94,0.40,15.9,87.6,9.16,14.4
