"Date","Time","Temp","SpCond","Cond","Resist","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","TDS","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","ppt","psir","meters","","mV","NTU","ug/L","RFU","g/L","%","mg/L","volts"
"2020/09/24","02:17:20",20.76,36539,33582,29.7778,23.15,4.824,3.346,7.88,-59.8,4.3,1.78,0.37,23.75,96.2,7.53,14.4
"2020/09/24","02:19:27",20.75,36648,33676,29.6949,23.22,4.817,3.341,7.88,-59.9,4.0,1.75,0.36,23.82,96.5,7.55,14.5
"2020/09/24","02:25:28",20.74,36730,33740,29.6382,23.28,4.797,3.327,7.88,-60.0,4.0,2.66,0.55,23.87,95.5,7.47,14.5
"2020/09/24","02:31:28",20.69,37025,33974,29.4345,23.49,4.776,3.312,7.88,-60.1,3.5,3.00,0.62,24.06,97.2,7.59,14.5
"2020/09/24","02:37:28",20.70,37097,34054,29.3653,23.54,4.749,3.293,7.89,-60.4,3.8,2.58,0.54,24.11,97.2,7.59,14.5
"2020/09/24","02:43:28",20.71,37343,34281,29.1704,23.71,4.721,3.273,7.89,-60.5,3.1,2.92,0.61,24.27,98.0,7.64,14.4
"2020/09/24","02:49:28",20.68,37462,34368,29.0966,23.79,4.683,3.247,7.89,-60.5,3.9,3.25,0.67,24.35,97.1,7.58,14.5
"2020/09/24","02:55:28",20.66,37522,34415,29.0570,23.84,4.652,3.225,7.89,-60.4,3.7,2.85,0.59,24.38,97.4,7.60,14.4
"2020/09/24","03:01:28",20.65,37615,34492,28.9920,23.90,4.629,3.209,7.89,-60.5,5.1,3.44,0.72,24.45,97.7,7.62,14.5
"2020/09/24","03:07:28",20.64,37721,34578,28.9200,23.98,4.586,3.179,7.89,-60.5,3.5,3.43,0.71,24.51,97.2,7.58,14.5
"2020/09/24","03:13:28",20.62,37643,34496,28.9887,23.92,4.552,3.156,7.89,-60.5,3.6,2.93,0.61,24.46,96.6,7.54,14.5
"2020/09/24","03:19:28",20.60,37803,34626,28.8800,24.03,4.514,3.129,7.89,-60.6,4.0,3.08,0.64,24.57,97.2,7.59,14.5
"2020/09/24","03:25:28",20.58,38031,34821,28.7180,24.19,4.473,3.100,7.89,-60.7,4.0,3.38,0.70,24.72,97.2,7.58,14.5
"2020/09/24","03:31:28",20.56,38050,34824,28.7156,24.21,4.429,3.070,7.89,-60.7,3.5,3.03,0.63,24.73,96.5,7.53,14.5
"2020/09/24","03:37:29",20.54,38229,34970,28.5961,24.33,4.381,3.036,7.89,-60.7,3.7,3.15,0.66,24.84,97.4,7.60,14.5
"2020/09/24","03:43:28",20.53,38170,34910,28.6449,24.29,4.338,3.006,7.89,-60.7,4.0,2.72,0.57,24.81,97.2,7.58,14.5
"2020/09/24","03:49:28",20.51,38519,35214,28.3979,24.54,4.292,2.973,7.89,-60.4,4.5,2.80,0.58,25.03,96.2,7.50,14.5
"2020/09/24","03:55:28",20.48,38642,35308,28.3225,24.63,4.245,2.941,7.89,-60.3,4.3,2.37,0.49,25.11,95.9,7.47,14.5
"2020/09/24","04:01:29",20.45,38934,35552,28.1280,24.83,4.201,2.910,7.88,-60.0,3.7,2.61,0.54,25.30,95.6,7.45,14.5
"2020/09/24","04:07:28",20.46,38731,35372,28.2708,24.69,4.157,2.880,7.89,-60.5,3.2,2.77,0.58,25.17,97.1,7.57,14.5
"2020/09/24","04:13:28",20.43,38649,35277,28.3468,24.63,4.105,2.844,7.89,-60.5,3.0,3.01,0.62,25.12,97.2,7.58,14.5
"2020/09/24","04:19:28",20.42,38774,35382,28.2630,24.72,4.055,2.809,7.89,-60.6,3.2,3.39,0.70,25.20,97.2,7.58,14.5
"2020/09/24","04:25:28",20.38,38769,35346,28.2919,24.72,4.000,2.771,7.89,-60.3,2.9,3.40,0.71,25.20,96.7,7.55,14.5
"2020/09/24","04:31:28",20.20,39236,35636,28.0617,25.05,3.948,2.734,7.87,-59.4,4.4,2.76,0.58,25.50,95.2,7.44,14.5
"2020/09/24","04:37:28",20.16,39098,35485,28.1806,24.95,3.901,2.701,7.87,-59.1,4.8,2.18,0.45,25.41,94.5,7.40,14.5
"2020/09/24","04:43:28",20.14,38962,35347,28.2912,24.85,3.849,2.665,7.86,-59.0,5.2,1.70,0.35,25.32,94.0,7.36,14.5
"2020/09/24","04:49:28",20.12,39170,35518,28.1550,25.00,3.807,2.636,7.86,-58.8,5.0,2.33,0.48,25.46,93.5,7.32,14.5
"2020/09/24","04:55:28",20.13,38907,35286,28.3397,24.82,3.766,2.609,7.86,-58.7,7.1,2.25,0.47,25.29,93.3,7.31,14.5
"2020/09/24","05:01:28",20.13,39068,35432,28.2233,24.93,3.724,2.579,7.86,-58.7,9.1,1.81,0.38,25.39,93.2,7.30,14.5
"2020/09/24","05:07:28",20.11,39249,35587,28.1002,25.06,3.670,2.542,7.86,-58.8,11.3,2.45,0.51,25.51,93.5,7.32,14.4
"2020/09/24","05:13:28",20.11,39322,35647,28.0524,25.11,3.623,2.509,7.86,-58.8,11.4,2.49,0.52,25.55,93.2,7.29,14.4
"2020/09/24","05:19:28",20.10,39199,35531,28.1442,25.02,3.591,2.487,7.86,-58.7,9.5,1.96,0.41,25.47,93.2,7.30,14.4
"2020/09/24","05:25:28",20.11,39005,35358,28.2818,24.89,3.554,2.462,7.86,-58.8,8.9,2.10,0.44,25.35,93.1,7.30,14.4
"2020/09/24","05:31:28",20.11,37973,34423,29.0504,24.16,3.509,2.431,7.86,-58.7,10.3,1.18,0.25,24.68,93.2,7.33,14.5
"2020/09/24","05:37:28",20.12,37073,33619,29.7449,23.53,3.477,2.411,7.86,-58.8,12.0,1.45,0.30,24.09,93.2,7.36,14.4
"2020/09/24","05:43:28",20.15,37176,33731,29.6459,23.60,3.439,2.384,7.86,-58.8,9.0,1.45,0.30,24.16,93.1,7.35,14.4
"2020/09/24","05:49:29",20.14,37350,33885,29.5117,23.72,3.396,2.354,7.86,-58.7,7.6,1.65,0.34,24.27,93.1,7.34,14.6
"2020/09/24","05:55:28",20.14,37477,34000,29.4117,23.81,3.349,2.321,7.86,-58.5,7.2,1.40,0.29,24.36,92.3,7.28,14.5
