Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm,dyeV,salinity,temperature
RHartnett, Blank, no dye,0, Blank,0,0,0,0,NA,NA
RHartnett, baystd1-epp-11092020-1-4, no dye,0, Measurement 1,0.1361,0.1147,0.1994,0,27.53,11.92
RHartnett, baystd1-epp-11092020-1-4, m-cresol added,0, Measurement 2,0.7888,0.8733,0.2112,80,27.53,11.92
RHartnett, baystd1-epp-11092020-2-2, no dye,0, Measurement 1,0.0486,0.0396,0.114,0,27.53,11.92
RHartnett, baystd1-epp-11092020-2-2, m-cresol added,0, Measurement 2,0.7028,0.6664,0.1131,80,27.53,11.92
RHartnett, baystd1-stck-11092020-3-G, no dye,0, Measurement 1,0.0606,0.0479,0.1195,0,27.53,11.92
RHartnett, baystd1-stck-11092020-3-G, m-cresol added,0, Measurement 2,0.7338,0.7046,0.1282,80,27.53,11.92
RHartnett, baystd1-stck-11092020-4-D, no dye,0, Measurement 1,0.0704,0.065,0.1402,0,27.53,11.92
RHartnett, baystd1-stck-11092020-4-D, m-cresol added,0, Measurement 2,0.7184,0.6746,0.1323,80,27.53,11.92
