"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"RHartnett"," Blank"," no dye",0," Blank",-3e-04,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"RHartnett"," B-0043-C1-P3-4"," no dye",0," Measurement 1",0.2949,0.2478,0.2943,0,29.79686066,17.07030131,1.40983321751216,1.4164128561501,7.9693087279104,7.85515132993847,7.97152778141843,7.85737038344651
"RHartnett"," B-0043-C1-P3-4"," m-cresol added",0," Measurement 2",0.8713,1.0601,0.2951,80,29.79686066,17.07030131,NA,NA,NA,NA,NA,NA
"RHartnett"," B-0043-C1-P4-2"," no dye",0," Measurement 1",0.42,0.3541,0.3898,0,29.79686066,17.07030131,1.41723549488055,1.42390218430034,7.97180456339943,7.8576471654275,7.97404222359973,7.8598848256278
"RHartnett"," B-0043-C1-P4-2"," m-cresol added",0," Measurement 2",1.0151,1.1937,0.3989,80,29.79686066,17.07030131,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0028-C2-P3-G"," no dye",0," Measurement 1",0.1306,0.1088,0.1782,0,29.44935454,15.16657032,1.34396316507503,1.34976817189632,7.97563030747555,7.83313171400207,7.9776760457288,7.83517745225532
"RHartnett"," P-0028-C2-P3-G"," m-cresol added",0," Measurement 2",0.7229,0.9028,0.1841,80,29.44935454,15.16657032,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0028-C2-P4-D"," no dye",0," Measurement 1",0.2296,0.1916,0.2522,0,29.44935454,15.16657032,1.35181053715462,1.35770782907156,7.97839387537624,7.83589528190277,7.98046102791915,7.83796243444568
"RHartnett"," P-0028-C2-P4-D"," m-cresol added",0," Measurement 2",0.809,0.976,0.2489,80,29.44935454,15.16657032,NA,NA,NA,NA,NA,NA
"RHartnett"," M-0049-C1-P3-1"," no dye",0," Measurement 1",0.2621,0.2148,0.2656,0,28.51597223,17.82539592,1.4589406327764,1.46609777461785,7.97721236105659,7.8741934780282,7.97955183325492,7.87653295022653
"RHartnett"," M-0049-C1-P3-1"," m-cresol added",0," Measurement 2",0.8283,1.0392,0.2692,80,28.51597223,17.82539592,NA,NA,NA,NA,NA,NA
"RHartnett"," M-0049-C1-P4-3"," no dye",0," Measurement 1",0.4496,0.3751,0.404,0,28.51597223,17.82539592,1.44206549118388,1.4490241813602,7.97165476544368,7.86863588241529,7.97395364515546,7.87093476212707
"RHartnett"," M-0049-C1-P4-3"," m-cresol added",0," Measurement 2",1.0002,1.1714,0.3988,80,28.51597223,17.82539592,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0044-C1-P3-C"," no dye",0," Measurement 1",0.4635,0.3882,0.4151,0,28.3345449,18.67951342,1.4783595113438,1.48574501919721,7.97138892229072,7.88089978100143,7.97377413348151,7.88328499219222
"RHartnett"," P-0044-C1-P3-C"," m-cresol added",0," Measurement 2",1.04,1.2388,0.4186,80,28.3345449,18.67951342,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0044-C1-P4-E"," no dye",0," Measurement 1",0.7102,0.5957,0.5958,0,28.3345449,18.67951342,1.48001427551749,1.48741924339757,7.9719242804323,7.88143513914301,7.97431334239043,7.88382420110114
"RHartnett"," P-0044-C1-P4-E"," m-cresol added",0," Measurement 2",1.285,1.4395,0.6102,80,28.3345449,18.67951342,NA,NA,NA,NA,NA,NA
