"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"CH"," Blank"," no dye",0," Blank",1e-04,1e-04,1e-04,0,NA,NA,NA,NA,NA,NA,NA,NA
"CH"," B-0043-C1-P1-4"," no dye",0," Measurement 1",0.0516,0.0598,0.1333,0,29.79686066,17.07030131,0.0286191271166229,0.0189556880515144,6.12134421755928,6.00718681958735,5.86528171803538,5.75112432006346
"CH"," B-0043-C1-P1-4"," m-cresol added",0," Measurement 2",0.4711,0.072,0.1335,80,29.79686066,17.07030131,NA,NA,NA,NA,NA,NA
"CH"," B-0043-C1-P2-G"," no dye",0," Measurement 1",0.2702,0.252,0.3019,0,29.79686066,17.07030131,0.0349533157768734,0.0253643667704094,6.23269631440281,6.11853891643089,6.05071619501141,5.93655879703949
"CH"," B-0043-C1-P2-G"," m-cresol added",0," Measurement 2",0.6933,0.272,0.3073,80,29.79686066,17.07030131,NA,NA,NA,NA,NA,NA
"CH"," P-0028-C2-P1-2"," no dye",0," Measurement 1",0.0428,0.0532,0.1287,0,29.44935454,15.16657032,0.0303103199422661,0.0206667693047871,6.18304215831567,6.0405435648422,5.95208555994661,5.80958696647314
"CH"," P-0028-C2-P1-2"," m-cresol added",0," Measurement 2",0.4609,0.0682,0.1311,80,29.44935454,15.16657032,NA,NA,NA,NA,NA,NA
"CH"," P-0028-C2-P2-1"," no dye",0," Measurement 1",0.0879,0.0929,0.1616,0,29.44935454,15.16657032,0.0253807106598985,0.0156791878172589,6.08017551175442,5.93767691828095,5.75639858569551,5.61389999222203
"CH"," P-0028-C2-P2-1"," m-cresol added",0," Measurement 2",0.5036,0.1054,0.1636,80,29.44935454,15.16657032,NA,NA,NA,NA,NA,NA
"CH"," M-0049-C1-P1-D"," no dye",0," Measurement 1",0.0427,0.0519,0.127,0,28.51597223,17.82539592,0.0298855942096661,0.0202370487975718,6.13756577232886,6.03454688930047,5.9007816269326,5.7977627439042
"CH"," M-0049-C1-P1-D"," m-cresol added",0," Measurement 2",0.4771,0.0708,0.1331,80,28.51597223,17.82539592,NA,NA,NA,NA,NA,NA
"CH"," M-0049-C1-P2-E"," no dye",0," Measurement 1",0.1963,0.1872,0.2451,0,28.51597223,17.82539592,0.0310457516339869,0.0214108496732026,6.1589900845472,6.05597120151881,5.9374716635441,5.83445278051571
"CH"," M-0049-C1-P2-E"," m-cresol added",0," Measurement 2",0.6269,0.2027,0.2473,80,28.51597223,17.82539592,NA,NA,NA,NA,NA,NA
"CH"," P-0044-C1-P1-3"," no dye",0," Measurement 1",0.0442,0.0523,0.1277,0,28.3345449,18.67951342,0.0310810810810811,0.0214465945945946,6.14747932232863,6.05699018103934,5.92639489295329,5.835905751664
"CH"," P-0044-C1-P1-3"," m-cresol added",0," Measurement 2",0.4879,0.0658,0.1274,80,28.3345449,18.67951342,NA,NA,NA,NA,NA,NA
"CH"," P-0044-C1-P2-C"," no dye",0," Measurement 1",0.1857,0.1768,0.2344,0,28.3345449,18.67951342,0.0301484230055658,0.0205029684601113,6.13036559260817,6.03987645131888,5.89722194441463,5.80673280312534
"CH"," P-0044-C1-P2-C"," m-cresol added",0," Measurement 2",0.6181,0.191,0.2356,80,28.3345449,18.67951342,NA,NA,NA,NA,NA,NA
"CH"," BAYSTD-1-B"," no dye",0," Measurement 1",0.1113,0.1106,0.1787,0,27.53,11.92,0.0293819655521783,0.0197274974670719,6.21869257011163,6.02698847392008,5.97460322218418,5.78289912599263
"CH"," BAYSTD-1-B"," m-cresol added",0," Measurement 2",0.5058,0.1219,0.1784,80,27.53,11.92,NA,NA,NA,NA,NA,NA
