"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"CH"," Blank"," no dye",0," Blank",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"CH"," B-0073-C1-P1-1"," no dye",0," Measurement 1",0.0539,0.0446,0.1211,0,30.32593202,15.19042708,1.07431264728987,1.076946564022,7.86804004288681,7.72589892492718,7.86918362482977,7.72704250687014
"CH"," B-0073-C1-P1-1"," m-cresol added",0," Measurement 2",0.6911,0.7291,0.1218,80,30.32593202,15.19042708,NA,NA,NA,NA,NA,NA
"CH"," B-0073-C1-P2-G"," no dye",0," Measurement 1",0.1082,0.0922,0.1628,0,30.32593202,15.19042708,1.07994255624701,1.08264268070847,7.8704812278964,7.72834010993677,7.87164779933216,7.72950668137254
"CH"," B-0073-C1-P2-G"," m-cresol added",0," Measurement 2",0.7372,0.7713,0.1651,80,30.32593202,15.19042708,NA,NA,NA,NA,NA,NA
"CH"," M-0030-C1-P1-2"," no dye",0," Measurement 1",0.0467,0.0386,0.1156,0,30.299,14.1849,1.03981264637002,1.04204084309134,7.86798834586614,7.71072868862072,7.86898602536773,7.71172636812231
"CH"," M-0030-C1-P1-2"," m-cresol added",0," Measurement 2",0.6875,0.7049,0.1159,80,30.299,14.1849,NA,NA,NA,NA,NA,NA
"CH"," M-0030-C1-P2-4"," no dye",0," Measurement 1",0.0944,0.08,0.1534,0,30.299,14.1849,1.04387804484594,1.04615405065333,7.86980712868912,7.7125474714437,7.87082246568602,7.7135628084406
"CH"," M-0030-C1-P2-4"," m-cresol added",0," Measurement 2",0.7189,0.7317,0.158,80,30.299,14.1849,NA,NA,NA,NA,NA,NA
"CH"," B-0033-C1-P1-B"," no dye",0," Measurement 1",0.0526,0.0433,0.1193,0,30.1465562,14.63341464,1.19647852558828,1.2005491130492,7.92725163101334,7.77674863992393,7.92884929291408,7.77834630182466
"CH"," B-0033-C1-P1-B"," m-cresol added",0," Measurement 2",0.6612,0.7713,0.1202,80,30.1465562,14.63341464,NA,NA,NA,NA,NA,NA
"CH"," B-0033-C1-P2-3"," no dye",0," Measurement 1",0.09,0.073,0.1457,0,30.1465562,14.63341464,1.21461563840317,1.21889951831079,7.93433181570817,7.78382882461876,7.93598979058876,7.78548679949935
"CH"," B-0033-C1-P2-3"," m-cresol added",0," Measurement 2",0.6964,0.8095,0.1459,80,30.1465562,14.63341464,NA,NA,NA,NA,NA,NA
"CH"," M-0042-C1-P1-C"," no dye",0," Measurement 1",0.0489,0.0389,0.1153,0,30.0267482,18.50382593,1.57422015059161,1.58273297956257,8.00054399322367,7.9074835449624,8.0031410607251,7.91008061246383
"CH"," M-0042-C1-P1-C"," m-cresol added",0," Measurement 2",0.6077,0.918,0.1163,80,30.0267482,18.50382593,NA,NA,NA,NA,NA,NA
"CH"," M-0042-C1-P2-D"," no dye",0," Measurement 1",0.1315,0.1087,0.1794,0,30.0267482,18.50382593,1.57930279248038,1.58787539331995,8.00209610560814,7.90903565734687,8.00470380979939,7.91164336153812
"CH"," M-0042-C1-P2-D"," m-cresol added",0," Measurement 2",0.675,0.9696,0.175,80,30.0267482,18.50382593,NA,NA,NA,NA,NA,NA
"CH"," BAYSTD-1-E"," no dye",0," Measurement 1",0.1004,0.0805,0.1508,0,27.53,11.92,1.04751415984896,1.04983292636879,7.91171525527138,7.72001115907984,7.91274627731735,7.7210421811258
"CH"," BAYSTD-1-E"," m-cresol added",0," Measurement 2",0.7361,0.7464,0.1509,80,27.53,11.92,NA,NA,NA,NA,NA,NA
