"TOA5","CR1000","CR1000","51029","CR1000.Std.25","CPU:RTC_MET_new_2018.CR1","25262","Public"
"TIMESTAMP","RECORD","BattV","AirTC","RH","BP_mmHg","WS_ms","WindDir","PAR_Den","PAR_Tot","SlrkW","SlrMJ","Rain_mm"
"TS","RN","Volts","Deg C","%","mmHg","meters/second","Degrees","umol/s/m^2","mmol/m^2","kW/m^2","MJ/m^2","mm"
"","","","","","","","","","","","",""

"2020-05-15 23:58:54.11",13310201,13.12872,19.98904,52.90359,763.2822,3.05,199.5741,1266.339,6.331694,0.0002013775,1.006887E-006,0
"2020-05-16 00:04:54.19",13310273,13.13451,20.02424,55.00668,763.2422,2,205.2588,1224.216,6.121078,0.0002013757,1.006879E-006,0
"2020-05-16 00:10:54.11",13310345,13.13521,20.12701,54.32959,763.1541,2.15,190.6315,1166.643,5.833215,0.0002013767,1.006884E-006,0
"2020-05-16 00:16:54.1",13310417,13.13549,20.26269,52.43108,763.1544,3.05,3.627898,1116.806,5.58403,0,0,0
"2020-05-16 00:22:54.11",13310489,13.12964,19.99014,54.32846,763.1476,2,0.07160168,1063.482,5.317409,0,0,0
"2020-05-16 00:28:54.15",13310561,13.141,19.75399,52.83778,762.9665,4.849999,326.0565,1042.847,5.214235,0,0,0
"2020-05-16 00:34:54.17",13310633,13.14068,19.24504,54.70208,762.9176,6.5,330.9233,956.8616,4.784306,0,0,0
"2020-05-16 00:40:54.18",13310705,13.14104,19.31439,51.8895,763.0661,2.6,313.4366,968.0353,4.840175,0.0002013705,1.006853E-006,0
"2020-05-16 00:46:54.24",13310777,13.14666,18.9758,58.84018,762.9749,3.95,325.9698,893.2501,4.466249,0,0,0
"2020-05-16 00:52:54.29",13310849,13.14715,18.94418,53.21421,762.9402,4.25,350.4723,858.8944,4.29447,0,0,0
"2020-05-16 00:58:54.11",13310921,13.14799,18.89597,59.09941,763.0011,3.35,313.5129,815.9374,4.079686,0,0,0
"2020-05-16 01:04:54.11",13310993,13.14821,18.93159,58.42298,762.8698,3.5,318.8692,773.8087,3.869042,0,0,0
"2020-05-16 01:10:54.11",13311065,13.1597,19.45934,54.44081,762.928,2.15,341.7978,707.6397,3.538198,0,0,0
"2020-05-16 01:16:54.17",13311137,13.15436,20.08755,53.64475,762.8859,0.65,345.4315,671.5635,3.357816,0,0,0
"2020-05-16 01:22:54.12",13311209,13.15443,20.86784,51.81396,763.0282,0,331.1818,634.5981,3.172989,0,0,0
"2020-05-16 01:28:54.1",13311281,13.14894,20.57976,53.32307,763.029,0.8,260.3292,489.2974,2.446486,0,0,0
"2020-05-16 01:34:54.1",13311353,13.15448,19.83381,52.57711,763.0293,0.95,351.57,417.0614,2.085306,0,0,0
"2020-05-16 01:40:54.1",13311425,13.15448,18.8674,56.32417,763.0294,1.85,7.56758,414.4789,2.072394,0,0,0
"2020-05-16 01:46:54.1",13311497,13.16,18.73176,50.1865,762.9827,2.6,1.933672,200.3548,1.001774,0,0,0
"2020-05-16 01:52:54.1",13311569,13.16553,18.46048,51.61071,762.9359,3.05,338.1539,209.8126,1.049063,0,0,0
"2020-05-16 01:58:54.1",13311641,13.17105,18.30789,52.54322,762.7955,5.75,328.39,169.4002,0.8470008,0,0,0
"2020-05-16 02:04:54.09",13311713,13.17657,18.30789,50.06781,762.7955,2.75,331.8993,149.6264,0.7481315,0,0,0
"2020-05-16 02:10:54.09",13311785,13.18209,18.15609,48.15257,762.7997,4.25,321.4714,137.5896,0.6879479,0,0,0
"2020-05-16 02:16:54.09",13311857,13.18849,18.07341,46.64524,762.811,3.5,326.7591,123.8313,0.6191563,0,0,0
"2020-05-16 02:22:54.11",13311929,13.19555,17.94286,46.37803,762.8853,2.3,315.805,110.0739,0.5503693,0,0,0
"2020-05-16 02:28:54.1",13312001,13.2023,17.83006,47.21375,762.7769,4.849999,324.5527,94.59542,0.472977,0,0,0
"2020-05-16 02:34:54.1",13312073,13.20809,17.74866,42.95958,762.842,0.8,278.5797,79.98013,0.3999005,0,0,0
"2020-05-16 02:40:54.1",13312145,13.20843,17.58046,43.70687,762.8496,2.75,314.1918,66.22212,0.3311105,0,0,0
"2020-05-16 02:46:54.1",13312217,13.21409,17.51318,43.87691,762.8527,0,288.1413,52.4639,0.2623194,0,0,0
"2020-05-16 02:52:54.1",13312289,13.21968,17.4805,45.84532,762.9531,0,213.5912,39.56366,0.1978182,0,0,0
"2020-05-16 02:58:54.09",13312361,13.22587,17.10763,46.69359,762.8141,0,262.4052,26.66286,0.1333143,0,0,0
"2020-05-16 03:04:54.09",13312433,13.23167,16.64952,50.47575,762.86,0,209.7468,17.20278,0.08601387,0,0,0
"2020-05-16 03:10:54.11",13312505,13.23775,16.36502,53.21007,762.694,0,250.1705,10.32211,0.05161051,0,0,0
"2020-05-16 03:16:54.11",13312577,13.24374,16.3,58.16592,762.8033,0.8,238.4322,5.161056,0.02580527,0,0,0
"2020-05-16 03:22:54.1",13312649,13.2499,15.99657,61.25526,762.6735,0,261.7039,2.580683,0.01290341,0,0,0
"2020-05-16 03:28:54.09",13312721,13.25605,15.932,60.54635,762.7387,0.5,212.2035,0.8602779,0.004301388,0,0,0
"2020-05-16 03:34:54.08",13312793,13.26735,15.63031,61.73793,762.7125,0.95,254.3553,0.8603134,0.004301566,0,0,0
"2020-05-16 03:40:54.1",13312865,13.26798,15.69967,59.56794,762.7678,0,240.6025,0.8603576,0.004301786,0,0,0
"2020-05-16 03:46:54.1",13312937,13.26823,15.2931,63.02972,762.8649,0.8,217.3855,0.8603786,0.004301891,0,0,0
"2020-05-16 03:52:54.1",13313009,13.27962,15.05769,65.30572,762.877,0,237.1266,0.8604058,0.004302028,0,0,0
"2020-05-16 03:58:54.09",13313081,13.28067,14.94086,64.88384,762.888,1.4,225.5481,0.8604403,0.0043022,0,0,0
"2020-05-16 04:04:54.09",13313153,13.27547,15.02954,64.63384,762.863,1.25,185.4016,0.8604607,0.004302302,0,0,0
"2020-05-16 04:10:54.09",13313225,13.28805,15.01642,64.65533,762.9318,1.7,200.3958,0,0,0,0,0
