Gran Titration Data Report - Nielsen Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sample ID,,,,,,,,,,,Name,,,,,Result,,,,,,,,,State,,,,
,61,,,1.8555,,,,,,231.1,,,0.0025,,,,20.7,,,0.0,,,,,,,,,,,,
,62,,,1.8580,,,,,,231.2,,,0.0025,,,,20.7,,,0.1,,,,,,,,,,,,
,63,,,1.8590,,,,,,231.3,,,0.0010,,,,20.7,,,0.1,,,,,,,,,,,,
,64,,,1.8605,,,,,,231.4,,,0.0015,,,,20.7,,,0.1,,,,,,,,,,,,
,65,,,1.8635,,,,,,231.5,,,0.0030,,,,20.7,,,0.1,,,,,,,,,,,,
,66,,,1.8665,,,,,,231.7,,,0.0030,,,,20.7,,,0.2,,,,,,,,,,,,
,67,,,1.8690,,,,,,231.8,,,0.0025,,,,20.7,,,0.1,,,,,,,,,,,,
,68,,,1.8695,,,,,,232.0,,,0.0005,,,,20.7,,,0.2,,,,,,,,,,,,
,,,,1.8695,,,,,,232.0,,,,,,,,,,,,,,,,,EP,,,,,
,69,,,1.8705,,,,,,232.0,,,0.0010,,,,20.7,,,0.0,,,,,,,,,,,,
,70,,,1.8705,,,,,,232.1,,,0.0000,,,,20.7,,,0.1,,,,,,,,,,,,
,71,,,1.8705,,,,,,232.1,,,0.0000,,,,20.7,,,0.0,,,,,,,,,,,,
,72,,,1.8705,,,,,,232.1,,,0.0000,,,,20.7,,,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EQP) [2],,,,,,,,,,,"Scope 1/1, Sample 1/15",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 1/15",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 1/15",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,V,,,,,,,Meas. value,,,dV,,,Temp.,,,,,,,dE,,,,,,,
,[s],,,,[mL],,,,,,,[mV],,,[mL],,,[°C],,,,,,,[mV],,,,,,,
,0,,,,0.0000,,,,,,,231.1,,,,,,21.0,,,,,,,,,,,,,,
,3,,,,0.0200,,,,,,,232.1,,,0.0200,,,21.0,,,,,,,1.0,,,,,,,
,6,,,,0.0400,,,,,,,233.2,,,0.0200,,,21.0,,,,,,,1.1,,,,,,,
,9,,,,0.0600,,,,,,,234.3,,,0.0200,,,21.0,,,,,,,1.1,,,,,,,
,12,,,,0.0800,,,,,,,235.3,,,0.0200,,,21.0,,,,,,,1.0,,,,,,,
,15,,,,0.1000,,,,,,,236.4,,,0.0200,,,21.0,,,,,,,1.1,,,,,,,
,18,,,,0.1200,,,,,,,237.4,,,0.0200,,,21.0,,,,,,,1.0,,,,,,,
,21,,,,0.1400,,,,,,,238.3,,,0.0200,,,21.0,,,,,,,0.9,,,,,,,
,24,,,,0.1600,,,,,,,239.2,,,0.0200,,,21.0,,,,,,,0.9,,,,,,,
,27,,,,0.1800,,,,,,,240.0,,,0.0200,,,21.0,,,,,,,0.8,,,,,,,
,30,,,,0.2000,,,,,,,240.8,,,0.0200,,,21.0,,,,,,,0.8,,,,,,,
,33,,,,0.2200,,,,,,,241.6,,,0.0200,,,21.0,,,,,,,0.8,,,,,,,
,36,,,,0.2400,,,,,,,242.4,,,0.0200,,,21.0,,,,,,,0.8,,,,,,,
,39,,,,0.2600,,,,,,,243.2,,,0.0200,,,21.0,,,,,,,0.8,,,,,,,
,42,,,,0.2800,,,,,,,243.9,,,0.0200,,,21.0,,,,,,,0.7,,,,,,,
,45,,,,0.3000,,,,,,,244.7,,,0.0200,,,21.0,,,,,,,0.8,,,,,,,
,48,,,,0.3200,,,,,,,245.4,,,0.0200,,,21.0,,,,,,,0.7,,,,,,,
,51,,,,0.3400,,,,,,,246.0,,,0.0200,,,21.0,,,,,,,0.6,,,,,,,
,54,,,,0.3600,,,,,,,246.7,,,0.0200,,,21.0,,,,,,,0.7,,,,,,,
,57,,,,0.3800,,,,,,,247.2,,,0.0200,,,21.0,,,,,,,0.5,,,,,,,
,60,,,,0.4000,,,,,,,247.9,,,0.0200,,,21.0,,,,,,,0.7,,,,,,,
,64,,,,0.4200,,,,,,,248.5,,,0.0200,,,21.0,,,,,,,0.6,,,,,,,
,66,,,,0.4400,,,,,,,249.1,,,0.0200,,,21.0,,,,,,,0.6,,,,,,,
,70,,,,0.4600,,,,,,,249.7,,,0.0200,,,21.0,,,,,,,0.6,,,,,,,
,72,,,,0.4800,,,,,,,250.3,,,0.0200,,,21.1,,,,,,,0.6,,,,,,,
,76,,,,0.5000,,,,,,,250.8,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,78,,,,0.5200,,,,,,,251.4,,,0.0200,,,21.1,,,,,,,0.6,,,,,,,
,82,,,,0.5400,,,,,,,251.9,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,85,,,,0.5600,,,,,,,252.4,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,88,,,,0.5800,,,,,,,252.9,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,91,,,,0.6000,,,,,,,253.4,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,94,,,,0.6200,,,,,,,253.9,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,97,,,,0.6400,,,,,,,254.4,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,100,,,,0.6600,,,,,,,254.9,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,103,,,,0.6800,,,,,,,255.4,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,106,,,,0.7000,,,,,,,255.8,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,109,,,,0.7200,,,,,,,256.3,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,112,,,,0.7400,,,,,,,256.7,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,115,,,,0.7600,,,,,,,257.0,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,118,,,,0.7800,,,,,,,257.5,,,0.0200,,,21.1,,,,,,,0.5,,,,,,,
,121,,,,0.8000,,,,,,,257.9,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,124,,,,0.8200,,,,,,,258.3,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,127,,,,0.8400,,,,,,,258.7,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,130,,,,0.8600,,,,,,,259.1,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,133,,,,0.8800,,,,,,,259.5,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,136,,,,0.9000,,,,,,,259.9,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,139,,,,0.9200,,,,,,,260.2,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,142,,,,0.9400,,,,,,,260.6,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,145,,,,0.9600,,,,,,,261.0,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,148,,,,0.9800,,,,,,,261.3,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,151,,,,1.0000,,,,,,,261.7,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,154,,,,1.0200,,,,,,,262.0,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,157,,,,1.0400,,,,,,,262.4,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,160,,,,1.0600,,,,,,,262.7,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,163,,,,1.0800,,,,,,,263.1,,,0.0200,,,21.1,,,,,,,0.4,,,,,,,
,166,,,,1.1000,,,,,,,263.4,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,169,,,,1.1200,,,,,,,263.7,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,172,,,,1.1400,,,,,,,264.0,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,175,,,,1.1600,,,,,,,264.3,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,178,,,,1.1800,,,,,,,264.6,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,181,,,,1.2000,,,,,,,264.9,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,184,,,,1.2200,,,,,,,265.2,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,187,,,,1.2400,,,,,,,265.5,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,190,,,,1.2600,,,,,,,265.8,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,193,,,,1.2800,,,,,,,266.1,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,196,,,,1.3000,,,,,,,266.4,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,199,,,,1.3200,,,,,,,266.7,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,202,,,,1.3400,,,,,,,267.0,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,205,,,,1.3600,,,,,,,267.2,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,208,,,,1.3800,,,,,,,267.5,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,211,,,,1.4000,,,,,,,267.8,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,214,,,,1.4200,,,,,,,268.1,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,217,,,,1.4400,,,,,,,268.3,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,220,,,,1.4600,,,,,,,268.6,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,223,,,,1.4800,,,,,,,268.9,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,226,,,,1.5000,,,,,,,269.1,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,229,,,,1.5200,,,,,,,269.4,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,232,,,,1.5400,,,,,,,269.6,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,235,,,,1.5600,,,,,,,269.8,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,238,,,,1.5800,,,,,,,270.1,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,242,,,,1.6000,,,,,,,270.3,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,245,,,,1.6200,,,,,,,270.5,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,248,,,,1.6400,,,,,,,270.8,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,251,,,,1.6600,,,,,,,271.1,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,254,,,,1.6800,,,,,,,271.3,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,257,,,,1.7000,,,,,,,271.5,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,260,,,,1.7200,,,,,,,271.8,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,263,,,,1.7400,,,,,,,272.0,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,266,,,,1.7600,,,,,,,272.2,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,269,,,,1.7800,,,,,,,272.4,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,272,,,,1.8000,,,,,,,272.6,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,275,,,,1.8200,,,,,,,272.8,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,278,,,,1.8400,,,,,,,273.0,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,281,,,,1.8600,,,,,,,273.3,,,0.0200,,,21.1,,,,,,,0.3,,,,,,,
,284,,,,1.8800,,,,,,,273.5,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,287,,,,1.9000,,,,,,,273.7,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,290,,,,1.9200,,,,,,,273.9,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,293,,,,1.9400,,,,,,,274.1,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,296,,,,1.9600,,,,,,,274.3,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,299,,,,1.9800,,,,,,,274.5,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,302,,,,2.0000,,,,,,,274.7,,,0.0200,,,21.1,,,,,,,0.2,,,,,,,
,305,,,,2.0200,,,,,,,274.9,,,0.0200,,,21.2,,,,,,,0.2,,,,,,,
,308,,,,2.0400,,,,,,,275.1,,,0.0200,,,21.2,,,,,,,0.2,,,,,,,
,311,,,,2.0600,,,,,,,275.3,,,0.0200,,,21.2,,,,,,,0.2,,,,,,,
,314,,,,2.0800,,,,,,,275.5,,,0.0200,,,21.2,,,,,,,0.2,,,,,,,
,317,,,,2.1000,,,,,,,275.7,,,0.0200,,,21.2,,,,,,,0.2,,,,,,,
,320,,,,2.1200,,,,,,,275.9,,,0.0200,,,21.2,,,,,,,0.2,,,,,,,
,323,,,,2.1400,,,,,,,276.1,,,0.0200,,,21.2,,,,,,,0.2,,,,,,,
,326,,,,2.1600,,,,,,,276.2,,,0.0200,,,21.2,,,,,,,0.1,,,,,,,
,329,,,,2.1800,,,,,,,276.4,,,0.0200,,,21.2,,,,,,,0.2,,,,,,,
,332,,,,2.2000,,,,,,,276.6,,,0.0200,,,21.2,,,,,,,0.2,,,,,,,
,335,,,,2.2200,,,,,,,276.8,,,0.0200,,,21.2,,,,,,,0.2,,,,,,,
