Gran Titration Data Report - Nielsen Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sample ID,,,,,,,,,,,Name,,,,,Result,,,,,,,,,State,,,,
1,,,SAC-3,,,,,,,,,,,Sample size,,,,,51.611 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,234.000 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,0.023 mL,,,,,,,,,OK,,,,
2,,,P-0076-1-1,,,,,,,,,,,Sample size,,,,,54.273 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-33.200 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.620 mL,,,,,,,,,OK,,,,
3,,,P-0076-1-2,,,,,,,,,,,Sample size,,,,,57.762 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-34.300 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.739 mL,,,,,,,,,OK,,,,
4,,,P-0076-1-3,,,,,,,,,,,Sample size,,,,,58.402 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-35.400 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.774 mL,,,,,,,,,OK,,,,
5,,,P-0076-2-1,,,,,,,,,,,Sample size,,,,,50.784 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-36.600 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.550 mL,,,,,,,,,OK,,,,
6,,,P-0076-2-2,,,,,,,,,,,Sample size,,,,,56.347 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-37.000 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.728 mL,,,,,,,,,OK,,,,
7,,,P-0076-2-3,,,,,,,,,,,Sample size,,,,,53.648 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-37.700 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.654 mL,,,,,,,,,OK,,,,
8,,,P-0076-3-1,,,,,,,,,,,Sample size,,,,,53.218 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-38.400 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.645 mL,,,,,,,,,OK,,,,
9,,,P-0076-3-2,,,,,,,,,,,Sample size,,,,,51.386 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-39.000 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.594 mL,,,,,,,,,OK,,,,
10,,,P-0076-3-3,,,,,,,,,,,Sample size,,,,,52.134 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-39.500 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.618 mL,,,,,,,,,OK,,,,
11,,,BAY-STD1-10122020-1,,,,,,,,,,,Sample size,,,,,55.389 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-40.800 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.654 mL,,,,,,,,,OK,,,,
12,,,BAY-STD1-10122020-2,,,,,,,,,,,Sample size,,,,,54.794 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-41.300 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.639 mL,,,,,,,,,OK,,,,
13,,,BAY-STD1-10122020-3,,,,,,,,,,,Sample size,,,,,56.478 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-41.800 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.692 mL,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,,,,,Meas. value,,,,,,,Temp.,,,,,dE,,,,,,,,,,,
,[s],,,,,,,,[mV],,,,,,,[°C],,,,,[mV],,,,,,,,,,,
,1,,,,,,,,234.0,,,,,,,19.8,,,,,,,,,,,,,,,,
,2,,,,,,,,234.0,,,,,,,19.8,,,,,0.0,,,,,,,,,,,
